datetime,pnl,position_owner
2024-08-27 14:00,-1150.0,L1
2024-08-28 10:00,1870.0,L1
2024-08-30 04:00,1870.0,L1
2024-08-30 10:00,-3341.999999999971,L2
2024-09-03 10:00,2404.0000000000146,L2
2024-09-03 18:00,2404.0000000000146,L2
2024-09-04 05:00,-1120.0,L1
2024-09-04 22:00,-3055.0,L2
2024-09-05 23:00,-995.0,L1
2024-09-09 04:00,-1055.0,L1
2024-09-09 09:00,1870.0,L1
2024-09-09 15:00,-1030.0,L1
2024-09-09 18:00,-1685.0,L2
2024-09-10 05:00,-1075.0,L1
2024-09-11 06:00,-1265.9999999999854,L1
2024-09-16 10:00,2404.0000000000146,L2
2024-09-16 22:00,-1745.0,L2
2024-09-17 04:00,1870.0,L1
2024-09-17 10:00,2404.0000000000146,L2
2024-09-17 20:00,-1080.0,L1
2024-09-18 13:00,-1265.9999999999854,L1
2024-09-19 02:00,1870.0,L1
2024-09-24 22:00,-3065.0,L2
2024-09-25 20:00,1870.0,L1
2024-09-26 03:00,-1265.9999999999854,L1
2024-09-26 22:00,2404.0000000000146,L2
2024-09-30 18:00,-3070.0,L2
2024-10-01 18:00,180.0,L2
2024-10-02 03:00,-1265.9999999999854,L1
2024-10-02 22:00,2404.0000000000146,L2
2024-10-03 06:00,1870.0,L1
2024-10-03 10:00,-1265.9999999999854,L1
2024-10-04 00:00,-1000.0,L1
2024-10-04 09:00,-1175.0,L1
2024-10-07 08:00,-1265.9999999999854,L1
2024-10-08 10:00,1870.0,L1
2024-10-09 12:00,-1265.9999999999854,L1
2024-10-09 16:00,-1050.0,L1
2024-10-10 14:00,-1265.9999999999854,L1
2024-10-11 12:00,-1070.0,L1
2024-10-13 18:00,-1025.0,L1
2024-10-14 09:00,1870.0,L1
2024-10-14 21:00,1870.0,L1
2024-10-16 10:00,-2270.0,L2
2024-10-16 13:00,1870.0,L1
2024-10-17 07:00,-1265.9999999999854,L1
2024-10-17 18:00,235.0,L2
2024-10-21 06:00,-1265.9999999999854,L1
2024-10-21 18:00,-1075.0,L1
2024-10-22 06:00,-3035.0,L2
2024-10-22 20:00,-1180.0,L1
2024-10-23 14:00,-2965.0,L2
2024-10-23 16:00,1870.0,L1
2024-10-24 04:00,-1265.9999999999854,L1
2024-10-24 10:00,190.0,L2
2024-10-24 11:00,-1265.9999999999854,L1
2024-10-24 16:00,1870.0,L1
2024-10-25 10:00,-1265.9999999999854,L1
2024-10-25 14:00,-3085.0,L2
2024-10-28 14:00,-1265.9999999999854,L1
2024-10-29 14:00,2210.0,L2
2024-10-29 21:00,-1070.0,L1
2024-10-30 09:00,1870.0,L1
2024-10-30 20:00,1870.0,L1
2024-10-31 10:00,2404.0000000000146,L2
2024-11-05 15:00,-1095.0,L1
2024-11-06 07:00,-1010.0,L1
2024-11-07 10:00,1870.0,L1
2024-11-07 15:00,-1105.0,L1
2024-11-08 10:00,1870.0,L1
2024-11-13 14:00,-3035.0,L2
2024-11-14 03:00,-1265.9999999999854,L1
2024-11-15 09:00,1870.0,L1
2024-11-15 10:00,2404.0000000000146,L2
2024-11-15 14:00,-3080.0,L2
2024-11-19 14:00,-1180.0,L1
2024-11-20 04:00,1870.0,L1
2024-11-20 10:00,2404.0000000000146,L2
2024-11-20 20:00,-1080.0,L1
2024-11-21 18:00,1870.0,L1
2024-11-27 14:00,1870.0,L1
2024-12-02 12:00,-1265.9999999999854,L1
2024-12-04 09:00,1870.0,L1
2024-12-05 22:00,2404.0000000000146,L2
2024-12-09 06:00,1870.0,L1
2024-12-10 02:00,-850.0,L2
2024-12-10 08:00,-1060.0,L1
2024-12-11 09:00,1870.0,L1
2024-12-11 10:00,2404.0000000000146,L2
2024-12-16 14:00,2404.0000000000146,L2
2024-12-17 04:00,-1025.0,L1
2024-12-17 08:00,1870.0,L1
2024-12-19 02:00,2404.0000000000146,L2
2024-12-20 04:00,1870.0,L1
2024-12-24 09:00,1870.0,L1
2024-12-25 18:00,-3341.999999999971,L2
2024-12-26 11:00,-1085.0,L1
2024-12-27 09:00,1870.0,L1
2024-12-27 10:00,2404.0000000000146,L2
2024-12-30 22:00,-3190.0,L2
2025-01-02 02:00,-3341.999999999971,L2
2025-01-05 18:00,-3530.0,L2
2025-01-06 04:00,1870.0,L1
2025-01-06 18:00,-1415.0,L2
2025-01-07 09:00,-1265.9999999999854,L1
2025-01-07 18:00,2404.0000000000146,L2
2025-01-16 03:00,-1095.0,L1
2025-01-16 06:00,-470.0,L2
2025-01-16 08:00,-1045.0,L1
2025-01-16 18:00,-1495.0,L2
2025-01-16 23:00,1870.0,L1
2025-01-17 13:00,-1265.9999999999854,L1
2025-01-20 02:00,2404.0000000000146,L2
2025-01-20 10:00,-3341.999999999971,L2
2025-01-23 02:00,885.0,L2
2025-01-23 06:00,-1170.0,L1
2025-01-24 10:00,-1070.0,L1
2025-01-24 13:00,1870.0,L1
2025-01-27 02:00,2404.0000000000146,L2
2025-01-28 22:00,1870.0,L1
2025-01-29 05:00,-1030.0,L1
2025-01-29 20:00,1870.0,L1
2025-01-29 22:00,-3341.999999999971,L2
2025-02-05 02:00,-1265.9999999999854,L1
2025-02-05 12:00,1870.0,L1
2025-02-06 03:00,-1000.0,L1
2025-02-09 20:00,1870.0,L1
2025-02-10 21:00,1870.0,L1
2025-02-11 12:00,1870.0,L1
2025-02-18 16:00,-1265.9999999999854,L1
2025-02-19 12:00,-1095.0,L1
2025-02-20 08:00,-1265.9999999999854,L1
2025-02-21 08:00,-1265.9999999999854,L1
2025-02-24 18:00,2404.0000000000146,L2
2025-02-25 06:00,-1265.9999999999854,L1
2025-02-26 07:00,1870.0,L1
2025-02-27 20:00,1870.0,L1
2025-02-28 02:00,-1265.9999999999854,L1
2025-02-28 08:00,1870.0,L1
2025-03-05 06:00,1870.0,L1
2025-03-06 01:00,1870.0,L1
2025-03-12 02:00,-1080.0,L1
2025-03-12 04:00,1870.0,L1
2025-03-17 18:00,-1265.9999999999854,L1
2025-03-18 00:00,-1000.0,L1
2025-03-19 18:00,-1025.0,L1
2025-03-20 06:00,2404.0000000000146,L2
2025-03-20 09:00,-1265.9999999999854,L1
2025-03-20 22:00,-1670.0,L2
2025-03-21 03:00,-1210.0,L1
2025-03-23 18:00,2404.0000000000146,L2
2025-03-24 08:00,1870.0,L1
2025-03-24 18:00,-1100.0,L1
2025-03-25 16:00,-1110.0,L1
2025-03-26 07:00,-1265.9999999999854,L1
2025-03-26 10:00,2404.0000000000146,L2
2025-03-26 14:00,2404.0000000000146,L2
2025-03-28 07:00,-1195.0,L1
2025-03-28 09:00,-1265.9999999999854,L1
2025-03-31 07:00,-1070.0,L1
2025-04-02 02:00,2404.0000000000146,L2
2025-04-17 04:00,-1265.9999999999854,L1
2025-04-17 06:00,-1220.0,L1
2025-04-22 09:00,1870.0,L1
2025-04-23 08:00,-1010.0,L1
2025-04-23 09:00,-1265.9999999999854,L1
2025-04-23 22:00,1870.0,L1
2025-04-29 02:00,2404.0000000000146,L2
2025-04-29 19:00,1870.0,L1
2025-05-01 04:00,-1265.9999999999854,L1
2025-05-01 23:00,-1110.0,L1
2025-05-04 22:00,-650.0,L2
2025-05-05 00:00,-1265.9999999999854,L1
2025-05-05 20:00,1870.0,L1
2025-05-06 10:00,-3090.0,L2
2025-05-07 02:00,1870.0,L1
2025-05-08 00:00,1870.0,L1
2025-05-08 22:00,1870.0,L1
2025-05-12 13:00,1870.0,L1
2025-05-15 13:00,-1135.0,L1
2025-05-16 15:00,-1265.9999999999854,L1
2025-05-19 10:00,2404.0000000000146,L2
2025-05-19 20:00,-1110.0,L1
2025-05-19 22:00,2404.0000000000146,L2
2025-05-21 21:00,-1215.0,L1
2025-05-22 18:00,2404.0000000000146,L2
2025-05-25 22:00,1870.0,L1
2025-05-26 22:00,-1090.0,L1
2025-05-27 14:00,2404.0000000000146,L2
2025-05-28 19:00,1870.0,L1
2025-06-02 18:00,805.0,L2
2025-06-03 09:00,1870.0,L1
2025-06-03 11:00,1870.0,L1
2025-06-04 10:00,2404.0000000000146,L2
2025-06-05 22:00,1445.0,L2
2025-06-06 01:00,1870.0,L1
2025-06-06 14:00,-1125.0,L1
2025-06-10 01:00,1870.0,L1
2025-06-10 02:00,-3055.0,L2
2025-06-10 21:00,-1265.9999999999854,L1
2025-06-11 11:00,-1265.9999999999854,L1
2025-06-12 18:00,1870.0,L1
2025-06-13 07:00,1870.0,L1
2025-06-16 04:00,1870.0,L1
2025-06-17 03:00,-1030.0,L1
2025-06-17 13:00,1870.0,L1
2025-06-17 16:00,1870.0,L1
2025-06-18 04:00,-1185.0,L1
2025-06-18 21:00,1870.0,L1
2025-06-20 09:00,1870.0,L1
2025-06-20 10:00,-3341.999999999971,L2
2025-06-23 04:00,-1210.0,L1
2025-06-23 09:00,-1265.9999999999854,L1
2025-06-24 03:00,-1265.9999999999854,L1
2025-06-24 06:00,955.0,L2
2025-06-24 11:00,1870.0,L1
2025-06-25 12:00,-1025.0,L1
2025-06-27 08:00,-1210.0,L1
2025-06-27 11:00,-1055.0,L1
2025-06-27 14:00,2404.0000000000146,L2
2025-07-03 10:00,1870.0,L1
2025-07-04 05:00,-1265.9999999999854,L1
2025-07-07 22:00,2404.0000000000146,L2
2025-07-14 18:00,-2215.0,L2
2025-07-15 01:00,1870.0,L1
2025-07-15 18:00,2404.0000000000146,L2
2025-07-16 22:00,-2315.0,L2
2025-07-17 09:00,-1265.9999999999854,L1
2025-07-17 10:00,1870.0,L1
2025-07-17 14:00,-1535.0,L2
2025-07-18 13:00,-1080.0,L1
2025-07-22 14:00,75.0,L2
2025-07-22 15:00,-1100.0,L1
2025-07-22 20:00,-1050.0,L1
2025-07-25 02:00,-800.0,L2
2025-07-25 16:00,-1265.9999999999854,L1
2025-07-28 06:00,-225.0,L2
2025-07-28 22:00,-1265.9999999999854,L1
2025-07-29 11:00,1870.0,L1
2025-07-30 22:00,-1265.9999999999854,L1
2025-07-31 10:00,2404.0000000000146,L2
2025-08-01 02:00,1870.0,L1
2025-08-01 07:00,-1120.0,L1
2025-08-04 10:00,1870.0,L1
2025-08-04 18:00,-1015.0,L1
2025-08-05 22:00,1870.0,L1
2025-08-06 12:00,1870.0,L1
2025-08-07 08:00,-1265.9999999999854,L1
2025-08-08 02:00,-3341.999999999971,L2
2025-08-12 08:00,1870.0,L1
2025-08-12 14:00,2404.0000000000146,L2
2025-08-20 10:00,2404.0000000000146,L2
2025-08-22 16:00,1870.0,L1
2025-08-25 10:00,1870.0,L1
2025-08-26 02:00,910.0,L2
2025-08-26 10:00,1870.0,L1
2025-08-29 16:00,-1115.0,L1
2025-09-02 07:00,1870.0,L1
2025-09-03 01:00,1870.0,L1
2025-09-03 06:00,2404.0000000000146,L2
2025-09-04 21:00,1870.0,L1
2025-09-05 10:00,-3341.999999999971,L2
2025-09-08 10:00,-765.0,L2
2025-09-08 19:00,-1050.0,L1
2025-09-09 13:00,1870.0,L1
2025-09-10 03:00,-1030.0,L1
2025-09-10 16:00,1870.0,L1
2025-09-11 10:00,1870.0,L1
2025-09-16 02:00,-3495.0,L2
2025-09-17 10:00,1870.0,L1
2025-09-17 20:00,1870.0,L1
2025-09-18 06:00,2404.0000000000146,L2
2025-09-23 10:00,2404.0000000000146,L2
2025-09-24 15:00,-1135.0,L1
2025-09-25 18:00,-180.0,L2
2025-09-25 20:00,-1035.0,L1
2025-09-26 15:00,1870.0,L1
2025-09-29 12:00,1870.0,L1
2025-10-01 18:00,2404.0000000000146,L2
2025-10-02 10:00,1785.0,L2
2025-10-03 13:00,1870.0,L1
2025-10-03 14:00,-3030.0,L2
2025-10-06 10:00,-1065.0,L1
2025-10-06 16:00,-1075.0,L1
2025-10-07 10:00,-4235.0,L2
2025-10-07 11:00,1870.0,L1
2025-10-07 20:00,-1035.0,L1
2025-10-08 02:00,-1030.0,L1
2025-10-08 14:00,2404.0000000000146,L2
2025-10-09 13:00,-1045.0,L1
2025-10-10 07:00,-1265.9999999999854,L1
2025-10-13 01:00,1870.0,L1
2025-10-15 01:00,1870.0,L1
2025-10-20 14:00,155.0,L2
2025-10-20 21:00,-1065.0,L1
2025-10-22 08:00,-1025.0,L1
2025-10-23 06:00,2404.0000000000146,L2
2025-10-24 01:00,1870.0,L1
2025-10-27 18:00,625.0,L2
2025-10-28 10:00,1870.0,L1
2025-10-29 02:00,-1265.9999999999854,L1
2025-10-29 22:00,-3341.999999999971,L2
2025-10-31 10:00,2404.0000000000146,L2
2025-11-04 02:00,2404.0000000000146,L2
2025-11-04 19:00,1870.0,L1
2025-11-05 14:00,-1100.0,L1
2025-11-05 22:00,-1015.0,L1
2025-11-07 05:00,1870.0,L1
2025-11-11 00:00,1870.0,L1
