anchor,sl_soft,sl_hard,tp,pnl,n,dd,win
2024Q1,270.14,527.89,359.91,42489.58,13,11400.0,69.2
2024Q1,256.61,500.44,399.49,21609.36,11,15825.0,54.5
2024Q1,276.21,544.8,331.76,19106.45,14,11540.0,57.1
2024Q1,297.29,533.17,381.98,14952.13,11,18725.0,54.5
2024Q1,264.91,519.69,347.86,40680.01,13,11045.0,69.2
2024Q1,285.38,448.4,370.26,43376.21,13,11710.0,69.2
2024Q1,245.75,524.02,390.19,29550.93,12,10065.0,58.3
2024Q1,275.54,504.72,369.43,43623.13,13,11540.0,69.2
2024Q1,254.57,518.63,413.63,14857.87,10,16110.0,50.0
2024Q1,410.38,656.27,353.64,24330.08,10,16965.0,70.0
2024Q1,264.47,549.62,379.94,46734.83,13,11045.0,69.2
2024Q1,265.82,555.65,401.5,12159.75,10,17260.0,50.0
2024Q1,241.13,467.88,387.96,29079.66,12,10190.0,58.3
2024Q1,257.46,577.61,339.83,39779.35,13,10875.0,69.2
2024Q1,250.27,560.29,126.55,-24045.71,27,34213.33,55.6
2024Q1,264.77,600.2,366.1,43963.61,13,11045.0,69.2
2024Q1,232.53,416.61,382.95,19958.65,14,19650.0,50.0
2024Q1,271.87,511.52,354.62,41296.27,13,11540.0,69.2
2024Q1,261.62,469.69,370.74,45073.0,13,10955.0,69.2
2024Q1,256.78,463.74,322.87,21007.29,16,16190.0,56.2
2024Q1,247.45,469.47,398.79,35625.44,11,10155.0,63.6
2024Q1,261.0,517.26,362.37,43756.31,13,10955.0,69.2
2024Q1,267.44,505.09,373.09,44845.72,13,11370.0,69.2
2024Q1,253.37,466.24,388.12,15259.43,12,15650.0,50.0
2024Q1,241.66,472.85,346.51,32202.36,15,19890.0,60.0
2024Q1,260.17,563.12,373.29,45721.93,13,10955.0,69.2
2024Q1,261.42,570.24,361.16,43349.3,13,10955.0,69.2
2024Q1,181.07,463.56,414.77,-423.41,16,30840.0,31.2
2024Q1,251.37,552.17,374.44,23535.82,15,26020.0,53.3
2024Q1,263.37,553.45,391.87,18974.88,11,17245.0,54.5
2024Q1,268.1,536.07,337.75,20900.79,14,11370.0,57.1
2024Q1,239.92,539.94,356.1,34152.84,15,20140.0,60.0
2024Q1,255.76,499.37,432.73,16658.32,10,16110.0,50.0
2024Q1,246.17,468.46,376.94,37454.04,15,20025.0,60.0
2024Q1,269.2,505.97,402.38,12112.67,10,17260.0,50.0
2024Q1,261.82,518.07,366.83,44370.18,13,10955.0,69.2
2024Q1,274.43,603.23,384.54,17694.9,11,17260.0,54.5
2024Q1,254.05,463.87,348.85,41557.68,13,10790.0,69.2
2024Q1,229.22,457.12,369.73,37841.77,15,19320.0,60.0
2024Q1,276.8,549.07,393.01,18476.57,11,17420.0,54.5
2024Q1,265.37,513.79,406.67,13127.16,10,16790.0,50.0
2024Q1,249.86,538.61,381.05,17751.48,14,20210.0,50.0
2024Q1,257.53,494.62,359.95,43400.83,13,10875.0,69.2
2024Q1,271.95,535.12,372.7,44550.67,13,11540.0,69.2
2024Q1,238.29,437.79,341.35,31498.43,15,20140.0,60.0
2024Q1,265.23,485.36,388.21,18475.59,11,17260.0,54.5
2024Q1,278.22,528.35,354.51,40706.85,13,11635.0,69.2
2024Q1,216.32,496.18,367.39,30034.86,17,22450.0,52.9
2024Q1,247.47,479.58,399.24,35688.94,11,10155.0,63.6
2024Q1,259.49,522.61,381.91,26802.17,12,10955.0,58.3
2024Q1,269.2,574.94,414.83,13827.87,10,16790.0,50.0
2024Q1,284.48,494.71,324.77,18027.76,16,17415.0,56.2
2024Q1,255.39,498.81,363.65,44221.44,13,10790.0,69.2
2024Q1,276.99,470.91,385.12,17529.43,11,17420.0,54.5
2024Q1,263.42,484.44,373.94,45788.78,13,10955.0,69.2
2024Q1,243.59,465.48,347.58,32363.81,15,19920.0,60.0
2024Q1,259.59,462.85,397.64,15331.49,12,16675.0,50.0
2024Q1,264.17,481.29,377.65,46412.05,13,10955.0,69.2
2024Q1,250.43,477.93,357.5,33360.01,15,20635.0,60.0
2024Q1,232.65,443.96,372.89,37910.62,15,19650.0,60.0
2024Q1,264.52,484.52,390.81,18787.14,11,17260.0,54.5
2024Q1,254.28,487.6,337.89,22566.81,14,10790.0,57.1
2024Q1,261.1,494.45,405.76,13870.61,10,16200.0,50.0
2024Q1,247.72,467.48,423.5,22115.28,9,10185.0,55.6
2024Q1,270.4,558.14,362.75,42874.93,13,11525.0,69.2
2024Q1,263.39,517.66,380.23,31472.07,11,10955.0,63.6
2024Q1,239.0,557.51,367.19,36148.67,15,20140.0,60.0
2024Q1,273.39,546.48,392.95,18704.18,11,17260.0,54.5
2024Q1,254.41,495.05,350.08,41778.83,13,10790.0,69.2
2024Q1,262.79,607.43,376.25,46204.71,13,10955.0,69.2
2024Q1,245.24,546.13,388.46,29308.76,12,10065.0,58.3
2024Q1,259.67,468.63,408.63,14158.4,10,16200.0,50.0
2024Q1,279.49,557.69,356.28,41025.38,13,11635.0,69.2
