i,time,layer,decision,datetime,reason,box_cause,event_type,direction,box_dir,entry_price,exit_time,exit_price,exit_reason,pnl,equity,dd,in_position,position_owner,l2_reason
3764,1724144400,L1,nonentry,2024-08-20 09:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3765,1724148000,L1,nonentry,2024-08-20 10:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3766,1724151600,,nonentry,2024-08-20 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3767,1724155200,L1,entry,2024-08-20 12:00,entered,,ENTRY,long,,19852.75,1724157360,19799.0,STOP_LOSS_SOFT,-1075.0,24044.0,3499.0,True,L1,
3768,1724158800,,nonentry,2024-08-20 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3769,1724162400,,nonentry,2024-08-20 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3770,1724166000,,nonentry,2024-08-20 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3771,1724169600,,nonentry,2024-08-20 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3772,1724176800,,nonentry,2024-08-20 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3773,1724180400,,nonentry,2024-08-20 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3774,1724184000,,nonentry,2024-08-20 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3775,1724187600,,nonentry,2024-08-20 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3776,1724191200,,nonentry,2024-08-20 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3777,1724194800,,nonentry,2024-08-20 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3778,1724198400,,nonentry,2024-08-21 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3779,1724202000,,nonentry,2024-08-21 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3780,1724205600,,nonentry,2024-08-21 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3781,1724209200,,nonentry,2024-08-21 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3782,1724212800,,nonentry,2024-08-21 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3783,1724216400,,nonentry,2024-08-21 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3784,1724220000,,nonentry,2024-08-21 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3785,1724223600,,nonentry,2024-08-21 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3786,1724227200,,nonentry,2024-08-21 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3787,1724230800,,nonentry,2024-08-21 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3788,1724234400,,nonentry,2024-08-21 10:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3789,1724238000,,nonentry,2024-08-21 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3790,1724241600,,nonentry,2024-08-21 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3791,1724245200,,nonentry,2024-08-21 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3792,1724248800,L1,entry,2024-08-21 14:00,entered,,ENTRY,long,,19893.25,1724253780,19838.5,STOP_LOSS_SOFT,-1095.0,22949.0,4594.0,True,L1,
3793,1724252400,L1,nonentry,2024-08-21 15:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3794,1724256000,,nonentry,2024-08-21 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3795,1724263200,,nonentry,2024-08-21 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3796,1724266800,,nonentry,2024-08-21 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3797,1724270400,,nonentry,2024-08-21 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3798,1724274000,,nonentry,2024-08-21 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3799,1724277600,,nonentry,2024-08-21 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3800,1724281200,,nonentry,2024-08-21 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3801,1724284800,,nonentry,2024-08-22 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3802,1724288400,,nonentry,2024-08-22 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3803,1724292000,,nonentry,2024-08-22 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3804,1724295600,,nonentry,2024-08-22 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3805,1724299200,,nonentry,2024-08-22 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3806,1724302800,,nonentry,2024-08-22 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3807,1724306400,,nonentry,2024-08-22 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3808,1724310000,,nonentry,2024-08-22 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3809,1724313600,,nonentry,2024-08-22 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3810,1724317200,,nonentry,2024-08-22 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3811,1724320800,,nonentry,2024-08-22 10:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3812,1724324400,,nonentry,2024-08-22 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3813,1724328000,,nonentry,2024-08-22 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3814,1724331600,,nonentry,2024-08-22 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3815,1724335200,,nonentry,2024-08-22 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3816,1724338800,,nonentry,2024-08-22 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3817,1724342400,,nonentry,2024-08-22 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3818,1724349600,,nonentry,2024-08-22 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3819,1724353200,,nonentry,2024-08-22 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3820,1724356800,,nonentry,2024-08-22 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3821,1724360400,,nonentry,2024-08-22 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3822,1724364000,,nonentry,2024-08-22 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3823,1724367600,,nonentry,2024-08-22 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3824,1724371200,,nonentry,2024-08-23 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3825,1724374800,,nonentry,2024-08-23 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3826,1724378400,,nonentry,2024-08-23 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
