i,time,layer,decision,datetime,reason,box_cause,event_type,direction,box_dir,entry_price,exit_time,exit_price,exit_reason,pnl,equity,dd,in_position,position_owner,l2_reason
3342,1753689600,,nonentry,2025-07-28 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3343,1753693200,,nonentry,2025-07-28 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3344,1753696800,,nonentry,2025-07-28 10:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3345,1753700400,,nonentry,2025-07-28 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3346,1753704000,,nonentry,2025-07-28 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3347,1753707600,,nonentry,2025-07-28 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3348,1753711200,,nonentry,2025-07-28 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3349,1753714800,,nonentry,2025-07-28 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3350,1753718400,,nonentry,2025-07-28 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3351,1753725600,,nonentry,2025-07-28 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3352,1753729200,,nonentry,2025-07-28 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3353,1753732800,,nonentry,2025-07-28 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3354,1753736400,,nonentry,2025-07-28 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3355,1753740000,,nonentry,2025-07-28 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3356,1753743600,,nonentry,2025-07-28 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3357,1753747200,,nonentry,2025-07-29 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3358,1753750800,,nonentry,2025-07-29 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3359,1753754400,,nonentry,2025-07-29 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3360,1753758000,,nonentry,2025-07-29 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3361,1753761600,,nonentry,2025-07-29 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3362,1753765200,,nonentry,2025-07-29 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3363,1753768800,,nonentry,2025-07-29 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3364,1753772400,,nonentry,2025-07-29 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3365,1753776000,,nonentry,2025-07-29 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3366,1753779600,,nonentry,2025-07-29 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3367,1753783200,,nonentry,2025-07-29 10:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3368,1753786800,,nonentry,2025-07-29 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3369,1753790400,,nonentry,2025-07-29 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3370,1753794000,,nonentry,2025-07-29 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3371,1753797600,,nonentry,2025-07-29 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3372,1753801200,,nonentry,2025-07-29 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3373,1753804800,,nonentry,2025-07-29 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3374,1753812000,,nonentry,2025-07-29 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3375,1753815600,,nonentry,2025-07-29 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3376,1753819200,,nonentry,2025-07-29 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3377,1753822800,,nonentry,2025-07-29 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3378,1753826400,L2,entry,2025-07-29 22:00,entered,,ENTRY,short,,6412.25,1753878660,6417.25,TIME_CAP,-250.0,-1212.5,7880.0,True,L2,
3379,1753830000,L2,nonentry,2025-07-29 23:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3380,1753833600,L2,nonentry,2025-07-30 00:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3381,1753837200,L2,nonentry,2025-07-30 01:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3382,1753840800,L2,nonentry,2025-07-30 02:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3383,1753844400,L2,nonentry,2025-07-30 03:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3384,1753848000,L2,nonentry,2025-07-30 04:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3385,1753851600,L2,nonentry,2025-07-30 05:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3386,1753855200,L2,nonentry,2025-07-30 06:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3387,1753858800,L2,nonentry,2025-07-30 07:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3388,1753862400,L2,nonentry,2025-07-30 08:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3389,1753866000,L2,nonentry,2025-07-30 09:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3390,1753869600,L2,nonentry,2025-07-30 10:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3391,1753873200,L2,nonentry,2025-07-30 11:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3392,1753876800,L2,nonentry,2025-07-30 12:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3393,1753880400,,nonentry,2025-07-30 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3394,1753884000,L2,entry,2025-07-30 14:00,entered,,ENTRY,short,,6419.5,1753887420,6386.0,TAKE_PROFIT_HARD,1675.0,462.5,6205.0,True,L2,
3395,1753887600,,nonentry,2025-07-30 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3396,1753891200,,nonentry,2025-07-30 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3397,1753898400,,nonentry,2025-07-30 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3398,1753902000,,nonentry,2025-07-30 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3399,1753905600,,nonentry,2025-07-30 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3400,1753909200,,nonentry,2025-07-30 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3401,1753912800,,nonentry,2025-07-30 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3402,1753916400,,nonentry,2025-07-30 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3403,1753920000,,nonentry,2025-07-31 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3404,1753923600,,nonentry,2025-07-31 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3405,1753927200,,nonentry,2025-07-31 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3406,1753930800,,nonentry,2025-07-31 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3407,1753934400,,nonentry,2025-07-31 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3408,1753938000,,nonentry,2025-07-31 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3409,1753941600,,nonentry,2025-07-31 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3410,1753945200,,nonentry,2025-07-31 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3411,1753948800,,nonentry,2025-07-31 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3412,1753952400,,nonentry,2025-07-31 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3413,1753956000,,nonentry,2025-07-31 10:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3414,1753959600,,nonentry,2025-07-31 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3415,1753963200,,nonentry,2025-07-31 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3416,1753966800,,nonentry,2025-07-31 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3417,1753970400,,nonentry,2025-07-31 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
