i,ref_month,release,tv_actual,tv_forecast,tv_previous,prev_pit,prev_first,prev_today,first,current,revision,prior_actual
34,2018-10-01,2018-11-14 08:30:00,0.3,0.3,0.1,0.05876607132930811,0.05876607132930811,0.2062281702117419,0.33056342611332834,0.2339580144498754,-0.09660541166345293,0.1
35,2018-11-01,2018-12-12 08:30:00,0.0,0.0,0.3,0.33056342611332834,0.33056342611332834,0.2339580144498754,0.019380841444949226,-0.07041919199911595,-0.08980003344406517,0.3
36,2018-12-01,2019-01-11 08:30:00,-0.1,-0.1,0.0,0.019380841444949226,0.019380841444949226,-0.07041919199911595,-0.05654945506888831,0.06848935445813442,0.12503880952702273,0.0
37,2019-01-01,2019-02-13 08:30:00,0.0,0.1,0.0,-0.01463839215064544,-0.05654945506888831,0.06848935445813442,-0.01978450714814617,-0.08149798035343991,-0.061713473205293745,-0.1
38,2019-02-01,2019-03-12 08:30:00,0.2,0.2,0.0,-0.01978450714814617,-0.01978450714814617,-0.08149798035343991,0.17413811527151601,0.3001255142321968,0.12598739896068079,0.0
39,2019-03-01,2019-04-10 08:30:00,0.4,0.3,0.2,0.17413811527151601,0.17413811527151601,0.3001255142321968,0.40890827417003894,0.37817929172307974,-0.030728982446959208,0.2
40,2019-04-01,2019-05-10 08:30:00,0.3,0.4,0.4,0.40890827417003894,0.40890827417003894,0.37817929172307974,0.3187119316303999,0.3759679404743643,0.05725600884396442,0.4
41,2019-05-01,2019-06-12 08:30:00,0.1,0.1,0.3,0.3187119316303999,0.3187119316303999,0.3759679404743643,0.07726762839370682,0.02468332856644384,-0.05258429982726298,0.3
42,2019-06-01,2019-07-11 08:30:00,0.1,0.2,0.1,0.07726762839370682,0.07726762839370682,0.02468332856644384,0.05878779565362535,-0.03251128102280676,-0.09129907667643211,0.1
43,2019-07-01,2019-08-13 08:30:00,0.3,0.3,0.1,0.05878779565362535,0.05878779565362535,-0.03251128102280676,0.33528524705743745,0.23078761661827762,-0.10449763043915983,0.1
44,2019-08-01,2019-09-12 08:30:00,0.1,0.1,0.3,0.33528524705743745,0.33528524705743745,0.23078761661827762,0.05426274881812354,0.09147700174354512,0.037214252925421576,0.3
45,2019-09-01,2019-10-10 08:30:00,0.0,0.1,0.1,0.05426274881812354,0.05426274881812354,0.09147700174354512,0.022629730784240465,0.1538846099767177,0.13125487919247725,0.1
46,2019-10-01,2019-11-13 08:30:00,0.4,0.3,0.0,0.022629730784240465,0.022629730784240465,0.1538846099767177,0.3561425818581876,0.2827282299262768,-0.07341435193191082,0.0
47,2019-11-01,2019-12-11 08:30:00,0.3,0.2,0.4,0.3561425818581876,0.3561425818581876,0.2827282299262768,0.2584823007645509,0.281542260504386,0.0230599597398351,0.4
48,2019-12-01,2020-01-14 08:30:00,0.2,0.3,0.3,0.2584823007645509,0.2584823007645509,0.281542260504386,0.21904658519942277,0.29122185210892493,0.07217526690950216,0.3
49,2020-01-01,2020-02-13 08:30:00,0.1,0.2,0.2,0.24047412188159534,0.21904658519942277,0.29122185210892493,0.1454860627447152,0.19216641534238743,0.046680352597672226,0.2
50,2020-02-01,2020-03-11 08:30:00,0.1,0.0,0.1,0.1454860627447152,0.1454860627447152,0.19216641534238743,0.088864848157022,0.04746707213065804,-0.041397776026363964,0.1
51,2020-03-01,2020-04-10 08:30:00,-0.4,-0.3,0.1,0.088864848157022,0.088864848157022,0.04746707213065804,-0.423470372514978,-0.4528447444551498,-0.029374371940171784,0.1
52,2020-04-01,2020-05-12 08:30:00,-0.8,-0.8,-0.4,-0.423470372514978,-0.423470372514978,-0.4528447444551498,-0.7951060852170677,-0.7920147553434065,0.0030913298736612305,-0.4
53,2020-05-01,2020-06-10 08:30:00,-0.1,0.0,-0.8,-0.7951060852170677,-0.7951060852170677,-0.7920147553434065,-0.05236379551546433,-0.08983252093487382,-0.03746872541940949,-0.8
54,2020-06-01,2020-07-14 08:30:00,0.6,0.5,-0.1,-0.05236379551546433,-0.05236379551546433,-0.08983252093487382,0.5653561039692168,0.4847499237691677,-0.08060618020004906,-0.1
55,2020-07-01,2020-08-12 08:30:00,0.6,0.3,0.6,0.5653561039692168,0.5653561039692168,0.4847499237691677,0.5866710210175263,0.5096443382793581,-0.07702668273816826,0.6
56,2020-08-01,2020-09-11 08:30:00,0.4,0.3,0.6,0.5866710210175263,0.5866710210175263,0.5096443382793581,0.37028018382594396,0.3731343283582156,0.0028541445322716186,0.6
57,2020-09-01,2020-10-13 08:30:00,0.2,0.2,0.4,0.37028018382594396,0.37028018382594396,0.3731343283582156,0.2033263889156478,0.2626139536318739,0.05928756471622609,0.4
58,2020-10-01,2020-11-12 08:30:00,0.0,0.1,0.2,0.2033263889156478,0.2033263889156478,0.2626139536318739,0.04457954951595511,0.1238475828567287,0.07926803334077359,0.2
59,2020-11-01,2020-12-10 08:30:00,0.2,0.1,0.0,0.04457954951595511,0.04457954951595511,0.1238475828567287,0.188994526073194,0.2274132890799363,0.038418763006742296,0.0
60,2020-12-01,2021-01-13 08:30:00,0.4,0.4,0.2,0.188994526073194,0.188994526073194,0.2274132890799363,0.3673073457634901,0.4346309661148906,0.06732362035140049,0.2
61,2021-01-01,2021-02-10 08:30:00,0.3,0.3,0.2,0.2425965883178005,0.3673073457634901,0.4346309661148906,0.2565376968955535,0.24499608845809373,-0.011541608437459772,0.4
62,2021-02-01,2021-03-10 08:30:00,0.4,0.4,0.3,0.2565376968955535,0.2565376968955535,0.24499608845809373,0.354649145219299,0.33956762230333837,-0.015081522915960655,0.3
63,2021-03-01,2021-04-13 08:30:00,0.6,0.5,0.4,0.354649145219299,0.354649145219299,0.33956762230333837,0.6201526821983494,0.524320981565296,-0.09583170063305335,0.4
64,2021-04-01,2021-05-12 08:30:00,0.8,0.2,0.6,0.6201526821983494,0.6201526821983494,0.524320981565296,0.7700354616624994,0.6238653990587206,-0.14617006260377874,0.6
65,2021-05-01,2021-06-10 08:30:00,0.6,0.4,0.8,0.7700354616624994,0.7700354616624994,0.6238653990587206,0.6442255801403007,0.6635060424433847,0.019280462303084,0.8
66,2021-06-01,2021-07-13 08:30:00,0.9,0.5,0.6,0.6442255801403007,0.6442255801403007,0.6635060424433847,0.9048560608599487,0.8461787818155431,-0.05867727904440567,0.6
67,2021-07-01,2021-08-11 08:30:00,0.5,0.5,0.9,0.9048560608599487,0.9048560608599487,0.8461787818155431,0.47383395883844326,0.4614747980816958,-0.012359160756747478,0.9
68,2021-08-01,2021-09-14 08:30:00,0.3,0.4,0.5,0.47383395883844326,0.47383395883844326,0.4614747980816958,0.274365048757641,0.2842925602144719,0.009927511456830906,0.5
69,2021-09-01,2021-10-13 08:30:00,0.4,0.3,0.3,0.274365048757641,0.274365048757641,0.2842925602144719,0.41243608339558424,0.4525517463950024,0.040115662999418156,0.3
70,2021-10-01,2021-11-10 08:30:00,0.9,0.6,0.4,0.41243608339558424,0.41243608339558424,0.4525517463950024,0.9433205174036452,0.9638202329232071,0.020499715519561867,0.4
71,2021-11-01,2021-12-10 08:30:00,0.8,0.7,0.9,0.9433205174036452,0.9433205174036452,0.9638202329232071,0.7791156531417709,0.8566262881938069,0.07751063505203604,0.9
72,2021-12-01,2022-01-12 08:30:00,0.5,0.4,0.8,0.7791156531417709,0.7791156531417709,0.8566262881938069,0.47045324153758283,0.6905230550805275,0.22006981354294464,0.8
73,2022-01-01,2022-02-10 08:30:00,0.6,0.5,0.6,0.5751748502822007,0.47045324153758283,0.6905230550805275,0.645066862768906,0.6046039630400957,-0.04046289972881034,0.5
74,2022-02-01,2022-03-10 08:30:00,0.8,0.8,0.6,0.645066862768906,0.645066862768906,0.6046039630400957,0.7977072566886623,0.6926379347568234,-0.10506932193183882,0.6
75,2022-03-01,2022-04-12 08:30:00,1.2,1.2,0.8,0.7977072566886623,0.7977072566886623,0.6926379347568234,1.2407541645846676,1.115641476274165,-0.12511268831050248,0.8
76,2022-04-01,2022-05-11 08:30:00,0.3,0.2,1.2,1.2407541645846676,1.2407541645846676,1.115641476274165,0.3319337661795929,0.30833512934780316,-0.023598636831789754,1.2
77,2022-05-01,2022-06-10 08:30:00,1.0,0.7,0.3,0.3319337661795929,0.3319337661795929,0.30833512934780316,0.9737998981511176,0.9484996239963239,-0.025300274154793634,0.3
78,2022-06-01,2022-07-13 08:30:00,1.3,1.1,1.0,0.9737998981511176,0.9737998981511176,0.9484996239963239,1.3222448657513208,1.2561019986405686,-0.06614286711075223,1.0
79,2022-07-01,2022-08-10 08:30:00,0.0,0.2,1.3,1.3222448657513208,1.3222448657513208,1.2561019986405686,-0.019300574276726046,-0.014917428642136077,0.004383145634589969,1.3
80,2022-08-01,2022-09-13 08:30:00,0.1,-0.1,0.0,-0.019300574276726046,-0.019300574276726046,-0.014917428642136077,0.1181965042283073,0.062391281496565476,-0.05580522273174182,0.0
81,2022-09-01,2022-10-13 08:30:00,0.4,0.2,0.1,0.1181965042283073,0.1181965042283073,0.062391281496565476,0.3859684730397106,0.42426727482827165,0.03829880178856104,0.1
82,2022-10-01,2022-11-10 08:30:00,0.4,0.6,0.4,0.3859684730397106,0.3859684730397106,0.42426727482827165,0.4383999245183734,0.5594754832984217,0.12107555878004828,0.4
83,2022-11-01,2022-12-13 08:30:00,0.1,0.3,0.4,0.4383999245183734,0.4383999245183734,0.5594754832984217,0.09628869161448783,0.2614032556282231,0.16511456401373525,0.4
84,2022-12-01,2023-01-12 08:30:00,-0.1,0.0,0.1,0.09628869161448783,0.09628869161448783,0.2614032556282231,-0.07943716922127475,0.01539563433359259,0.09483280355486734,0.1
85,2023-01-01,2023-02-14 08:30:00,0.5,0.5,0.1,0.1312801827205723,-0.07943716922127475,0.01539563433359259,0.517074149637109,0.5314022594635093,0.014328109826400315,-0.1
86,2023-02-01,2023-03-14 08:30:00,0.4,0.4,0.5,0.517074149637109,0.517074149637109,0.5314022594635093,0.3700055900125232,0.3428533386591992,-0.027152251353323997,0.5
87,2023-03-01,2023-04-12 08:30:00,0.1,0.2,0.4,0.3700055900125232,0.3700055900125232,0.3428533386591992,0.053041956187338535,0.12307181953890023,0.0700298633515617,0.4
88,2023-04-01,2023-05-10 08:30:00,0.4,0.4,0.1,0.053041956187338535,0.053041956187338535,0.12307181953890023,0.3677834914912914,0.3392739405144063,-0.028509550976885123,0.1
89,2023-05-01,2023-06-13 08:30:00,0.1,0.2,0.4,0.3677834914912914,0.3677834914912914,0.3392739405144063,0.12412600109599214,0.1614687381333635,0.03734273703737134,0.4
90,2023-06-01,2023-07-12 08:30:00,0.2,0.3,0.1,0.12412600109599214,0.12412600109599214,0.1614687381333635,0.18035305676999958,0.224175331482801,0.04382227471280142,0.1
91,2023-07-01,2023-08-10 08:30:00,0.2,0.2,0.2,0.18035305676999958,0.18035305676999958,0.224175331482801,0.16686358983810656,0.1957146710348745,0.028851081196767936,0.2
92,2023-08-01,2023-09-13 08:30:00,0.6,0.6,0.2,0.16686358983810656,0.16686358983810656,0.1957146710348745,0.6311853536083767,0.4835707415079771,-0.1476146121003996,0.2
93,2023-09-01,2023-10-12 08:30:00,0.4,0.3,0.6,0.6311853536083767,0.6311853536083767,0.4835707415079771,0.39573055059440865,0.3900915440960384,-0.005639006498370236,0.6
94,2023-10-01,2023-11-14 08:30:00,0.0,0.1,0.4,0.39573055059440865,0.39573055059440865,0.3900915440960384,0.0448808219044583,0.13668493471667986,0.09180411281222156,0.4
95,2023-11-01,2023-12-12 08:30:00,0.1,0.0,0.0,0.0448808219044583,0.0448808219044583,0.13668493471667986,0.09687308001129491,0.14689823722116024,0.050025157209865334,0.0
96,2023-12-01,2024-01-11 08:30:00,0.3,0.2,0.1,0.09687308001129491,0.09687308001129491,0.14689823722116024,0.30300373152507554,0.1924399963653789,-0.11056373515969664,0.1
97,2024-01-01,2024-02-13 08:30:00,0.3,0.2,0.2,0.2330987195803047,0.30300373152507554,0.1924399963653789,0.30543301526839706,0.30996854969052023,0.0045355344221231775,0.3
98,2024-02-01,2024-03-12 08:30:00,0.4,0.4,0.3,0.30543301526839706,0.30543301526839706,0.30996854969052023,0.4420620953549559,0.40975401843086345,-0.03230807692409243,0.3
99,2024-03-01,2024-04-10 08:30:00,0.4,0.3,0.4,0.4420620953549559,0.4420620953549559,0.40975401843086345,0.3780694027403664,0.4431338373525273,0.06506443461216094,0.4
100,2024-04-01,2024-05-15 08:30:00,0.3,0.4,0.4,0.3780694027403664,0.3780694027403664,0.4431338373525273,0.3129103545463252,0.21706766556210955,-0.09584268898421566,0.4
101,2024-05-01,2024-06-12 08:30:00,0.0,0.1,0.3,0.3129103545463252,0.3129103545463252,0.21706766556210955,0.00574699799176237,0.04855873210594108,0.04281173411417871,0.3
102,2024-06-01,2024-07-11 08:30:00,-0.1,0.1,0.0,0.00574699799176237,0.00574699799176237,0.04855873210594108,-0.05618964003513138,-0.041829647960411886,0.014359992074719496,0.0
103,2024-07-01,2024-08-14 08:30:00,0.2,0.2,-0.1,-0.05618964003513138,-0.05618964003513138,-0.041829647960411886,0.1549278228009099,0.16770805381991494,0.01278023101900505,-0.1
104,2024-08-01,2024-09-11 08:30:00,0.2,0.2,0.2,0.1549278228009099,0.1549278228009099,0.16770805381991494,0.1872205247277714,0.1572221743858515,-0.029998350341919888,0.2
105,2024-09-01,2024-10-10 08:30:00,0.2,0.1,0.2,0.1872205247277714,0.1872205247277714,0.1572221743858515,0.17986699392908978,0.2133336729690294,0.033466679039939606,0.2
106,2024-10-01,2024-11-13 08:30:00,0.2,0.2,0.2,0.17986699392908978,0.17986699392908978,0.2133336729690294,0.24405280184056632,0.2856398459641696,0.041587044123603256,0.2
107,2024-11-01,2024-12-11 08:30:00,0.3,0.3,0.2,0.24405280184056632,0.24405280184056632,0.2856398459641696,0.312882385387403,0.28419261732848256,-0.02868976805892043,0.2
108,2024-12-01,2025-01-15 08:30:00,0.4,0.3,0.3,0.312882385387403,0.312882385387403,0.28419261732848256,0.39312225659760003,0.3399383308901438,-0.053183925707456225,0.3
109,2025-01-01,2025-02-12 08:30:00,0.5,0.3,0.4,0.36467171645351293,0.39312225659760003,0.3399383308901438,0.46693513600313263,0.42726162139017365,-0.03967351461295898,0.4
110,2025-02-01,2025-03-12 08:30:00,0.2,0.3,0.5,0.46693513600313263,0.46693513600313263,0.42726162139017365,0.2159292479143371,0.22510589068882592,0.009176642774488819,0.5
111,2025-03-01,2025-04-10 08:30:00,-0.1,0.1,0.2,0.2159292479143371,0.2159292479143371,0.22510589068882592,-0.05003518098661841,0.03315826188146076,0.08319344286807917,0.2
112,2025-04-01,2025-05-13 08:30:00,0.2,0.3,-0.1,-0.05003518098661841,-0.05003518098661841,0.03315826188146076,0.2208907591946696,0.16167112278562268,-0.05921963640904693,-0.1
113,2025-05-01,2025-06-11 08:30:00,0.1,0.2,0.2,0.2208907591946696,0.2208907591946696,0.16167112278562268,0.08085639093282637,0.09928130327003792,0.018424912337211552,0.2
114,2025-06-01,2025-07-15 08:30:00,0.3,0.3,0.1,0.08085639093282637,0.08085639093282637,0.09928130327003792,0.2869798490236386,0.2541949971929469,-0.032784851830691686,0.1
115,2025-07-01,2025-08-12 08:30:00,0.2,0.2,0.3,0.2869798490236386,0.2869798490236386,0.2541949971929469,0.19657853810264303,0.22835098853577485,0.031772450433131816,0.3
116,2025-08-01,2025-09-11 08:30:00,0.4,0.3,0.2,0.19657853810264303,0.19657853810264303,0.22835098853577485,0.3824519141221616,0.3482644202266627,-0.03418749389549891,0.2
117,2025-09-01,2025-10-24 08:30:00,0.3,0.4,0.4,0.3824519141221616,0.3824519141221616,0.3482644202266627,0.310486015759337,0.2950901819104068,-0.015395833848930174,0.4
118,2025-12-01,2026-01-13 08:30:00,0.3,0.3,,0.20439747447345002,,0.2522783697512576,0.3073552984176775,0.297788428704604,-0.009566869713073523,0.3
119,2026-01-01,2026-02-13 08:30:00,0.2,0.3,0.3,0.297788428704604,0.3073552984176775,0.297788428704604,0.170842649932057,0.170842649932057,0.0,0.3
120,2026-02-01,2026-03-11 08:30:00,0.3,0.3,0.2,0.170842649932057,0.170842649932057,0.170842649932057,0.26700307420970404,0.26700307420970404,0.0,0.2
121,2026-03-01,2026-04-10 08:30:00,0.9,0.9,0.3,0.26700307420970404,0.26700307420970404,0.26700307420970404,0.8651438343614481,0.8651438343614481,0.0,0.3
122,2026-04-01,2026-05-12 08:30:00,0.6,0.6,0.9,0.8651438343614481,0.8651438343614481,0.8651438343614481,0.6400377846336402,0.6400377846336402,0.0,0.9
123,2026-05-01,2026-06-10 08:30:00,0.5,0.5,0.6,0.6400377846336402,0.6400377846336402,0.6400377846336402,0.47291422864139676,0.47291422864139676,0.0,0.6
124,2026-06-01,2026-07-14 08:30:00,-0.4,-0.1,0.5,0.47291422864139676,0.47291422864139676,0.47291422864139676,-0.42248165303806484,-0.42248165303806484,0.0,0.5
