anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
NY Empire State Manufacturing Index,2,08:30,65,63,-4.0168650793658,-56.516865079365814,-3.0740394444457055,0.002111815089231482,0.05,-18.07943548387142,9.606249999999026,51.507736541247084,1.500000000000222,True,-52.5405764248705,1.1678069383662254e-12,False,0.576,False,SIGNIFICANT-NEGATIVE (p=0.0021),True
New Home Sales,2,10:00,78,78,56.39054487179474,3.890544871794726,0.16795751332631748,0.8666167036295784,0.05,19.5131410256408,93.26794871794866,64.89553691417083,1.4999999999993339,True,-49.659663588390266,1.0478915747366758e-09,True,0.002,True,POWERED-NULL,False
Overall Net Capital Flows,2,16:00,125,121,-5.928512396693021,-58.42851239669303,-9.105708087292143,8.570551981812866e-20,0.05,3.929375000000143,-15.624795081964985,17.976905817816732,1.0,False,-57.93684931506821,4.337062287186205e-54,False,0.549,False,VOID-TIMESTAMP,True
Pending Home Sales MoM,2,10:00,112,112,16.31138392857118,-36.18861607142882,-2.2173305179562943,0.026600513919821097,0.05,0.659374999999382,31.963392857142974,45.724122342249586,1.499999999999556,True,-49.659663588390266,1.0478915747366758e-09,True,0.175,False,SIGNIFICANT-NEGATIVE (p=0.027),True
Redbook YoY,2,08:55,553,552,14.569565217390672,-37.930434782609325,-5.393980010650423,6.891388802482672e-08,0.05,12.458967391304073,16.68016304347727,19.700730299624812,1.0,False,-44.19064910025701,1.5200924543120974e-07,True,0.192,False,VOID-TIMESTAMP,True
Richmond Fed Manufacturing Index,2,10:00,125,125,6.7220000000000715,-45.77799999999993,-3.114552854633522,0.0018422394747120271,0.05,11.131653225805952,2.38234126984191,41.177971328234236,1.499999999999556,True,-49.659663588390266,1.0478915747366758e-09,True,0.372,False,SIGNIFICANT-NEGATIVE (p=0.0018),True
S&P Global Composite PMI Final,2,09:45,127,125,-15.932699999998869,-68.43269999999886,-5.098137632754554,3.430113949745757e-07,0.05,1.8546370967746773,-33.43769841269665,37.60589741124499,1.499999999999556,True,-50.6686375321335,1.4580250196291526e-10,False,0.881,False,SIGNIFICANT-NEGATIVE (p=3.4e-07),True
S&P Global Manufacturing PMI Final,2,09:45,128,128,-14.13818359375027,-66.63818359375027,-4.8635204295521826,1.1531611714920894e-06,0.05,-1.646289062499915,-26.630078125000622,38.38629915742763,1.499999999999556,True,-50.6686375321335,1.4580250196291526e-10,False,0.876,False,SIGNIFICANT-NEGATIVE (p=1.2e-06),True
S&P Global Services PMI Flash,2,09:45,126,126,-13.084821428571793,-65.58482142857177,-4.598997663903698,4.245285423969377e-06,0.05,3.485119047619982,-29.65476190476357,39.952502637070694,1.499999999999556,True,-50.6686375321335,1.4580250196291526e-10,False,0.872,False,SIGNIFICANT-NEGATIVE (p=4.2e-06),True
S&P/Case-Shiller Home Price YoY,2,09:00,95,95,4.345921052631341,-48.154078947368646,-3.0631388438126694,0.0021902841030269735,0.05,-5.881914893615965,14.360677083331828,44.042324780228284,1.666666666666568,True,-44.80149350649345,1.1192939463209129e-07,False,0.584,False,SIGNIFICANT-NEGATIVE (p=0.0022),True
Total Vehicle Sales,2,19:00,117,103,-4.524757281552602,-57.024757281552596,-4.99655886841084,5.836236493946298e-07,0.05,-16.55318627450887,7.272355769231428,31.9739487346692,1.0000000000008882,False,-47.86033653846156,5.118011523226645e-26,False,0.937,False,VOID-TIMESTAMP,True
Used Car Prices MoM,2,09:00,42,41,-33.30823170731748,-85.80823170731749,-3.134474654209026,0.0017216212596604858,0.05,-29.80437500000155,-36.6452380952374,76.6951722783246,1.333333333333432,True,-44.80149350649345,1.1192939463209129e-07,False,0.96,False,SIGNIFICANT-NEGATIVE (p=0.0017),True
WASDE Report,2,12:00,110,110,-2.946590909090787,-55.44659090909076,-4.830633989419837,1.3609898927760735e-06,0.05,-0.8581818181816661,-5.034999999999904,32.1569280277869,1.0,False,-44.71380076142102,3.736203733577546e-12,False,0.828,False,VOID-TIMESTAMP,True
Wholesale Inventories MoM,2,10:00,97,97,33.58646907216449,-18.913530927835502,-1.0070197204615106,0.3139252975375847,0.05,13.195833333331608,53.56096938775588,52.61850151190884,1.499999999999556,True,-49.659663588390266,1.0478915747366758e-09,True,0.038,False,POWERED-NULL,False
Wholesale Inventories MoM Adv,2,08:30,49,49,-5.146428571428321,-57.646428571428316,-2.6342640657197807,0.008431988201334775,0.05,3.886458333333492,-13.81799999999966,61.307969958924346,1.0,False,-52.5405764248705,1.1678069383662254e-12,False,0.602,False,VOID-TIMESTAMP,True
