et,pnl_usd,outcome,entry,exit_price,exit_s,block
2023-10-17 08:30:00,-87.55999999999631,stopped_post,1751.2,1749.4488000000001,0.0,Retail Sales MoM
2023-11-15 08:30:00,363.41999999999643,tp,1817.1,1824.3683999999998,16.0,Retail Sales MoM
2023-12-14 08:30:00,-99.87999999999602,stopped_post,1997.6,1995.6024,0.0,Retail Sales MoM
2024-01-17 08:30:00,-95.61499999999796,stopped_post,1912.3,1910.3877,5.0,Retail Sales MoM
2024-02-15 08:30:00,-101.37499999999591,stopped_post,2027.5,2025.4725,0.0,Retail Sales MoM
2024-03-14 08:30:00,-104.89000000000033,stopped_post,2097.8,2095.7022,1.0,Retail Sales MoM
2024-04-15 08:30:00,-101.31000000000085,stopped_post,2026.2,2024.1738,0.0,Retail Sales MoM
2024-06-18 08:30:00,-102.20000000000482,stopped_pre,2044.0,2041.956,-46.0,Retail Sales MoM
2024-07-16 08:30:00,-111.3550000000032,stopped_post,2227.1,2224.8729,0.0,Retail Sales MoM
2024-08-15 08:30:00,418.3800000000019,tp,2091.9,2100.2676,0.0,Retail Sales MoM
2024-09-17 08:30:00,-111.11000000000786,stopped_pre,2222.2,2219.9777999999997,-14.0,Retail Sales MoM
2024-10-17 08:30:00,60.00000000001364,timed,2302.2,2303.4,900.0,Retail Sales MoM
2024-11-15 08:30:00,-117.42500000000291,stopped_post,2348.5,2346.1515,3.0,Retail Sales MoM
2024-12-17 08:30:00,9.999999999990905,timed,2378.4,2378.6,900.0,Retail Sales MoM
2025-01-16 08:30:00,-113.63499999999931,stopped_pre,2272.7,2270.4273,-8.0,Retail Sales MoM
2025-02-14 08:30:00,-114.58999999999833,stopped_post,2291.8,2289.5082,436.0,Retail Sales MoM
2025-03-17 08:30:00,415.0000000000091,tp,2050.6,2058.9,639.0,Retail Sales MoM
2025-04-16 08:30:00,-94.99999999999318,stopped_post,1887.6,1885.7,804.0,Retail Sales MoM
2025-05-15 08:30:00,-104.20999999998912,stopped_post,2084.2,2082.1158,0.0,Retail Sales MoM
2025-06-17 08:30:00,-106.45999999999276,stopped_post,2129.2,2127.0708,0.0,Retail Sales MoM
2025-07-17 08:30:00,314.99999999998636,timed,2230.4,2236.7,900.0,Retail Sales MoM
2025-08-15 08:30:00,15.000000000009095,timed,2309.5,2309.8,900.0,Retail Sales MoM
2025-09-16 08:30:00,-40.000000000009095,timed,2427.4,2426.6,899.0,Retail Sales MoM
2025-11-25 08:30:00,-121.550000000002,stopped_post,2431.0,2428.569,334.0,Retail Sales MoM
2026-01-14 08:30:00,-134.9999999999909,stopped_post,2641.5,2638.8,322.0,Retail Sales MoM
2026-02-10 08:30:00,-134.76499999999305,stopped_post,2695.3,2692.6047000000003,34.0,Retail Sales MoM
2026-04-01 08:30:00,-126.52499999999236,stopped_pre,2530.5,2527.9695,-161.0,Retail Sales MoM
2026-04-21 08:30:00,-140.73000000000775,stopped_post,2814.6,2811.7853999999998,513.0,Retail Sales MoM
2026-05-14 08:30:00,-143.2299999999941,stopped_post,2864.6,2861.7354,742.0,Retail Sales MoM
2026-06-17 08:30:00,70.00000000000455,timed,2967.0,2968.4,886.0,Retail Sales MoM
2026-07-16 08:30:00,-9.999999999990905,timed,2976.0,2975.8,898.0,Retail Sales MoM
2017-08-25 08:30:00,35.000000000002274,timed,1374.5,1375.2,887.0,Durable Goods Orders MoM
2017-09-27 08:30:00,19.99999999999318,timed,1463.9,1464.3,888.0,Durable Goods Orders MoM
2017-10-25 08:30:00,-4.9999999999954525,timed,1498.5,1498.4,885.0,Durable Goods Orders MoM
2017-11-22 08:30:00,-29.999999999995453,timed,1522.3,1521.7,900.0,Durable Goods Orders MoM
2017-12-22 08:30:00,39.999999999997726,timed,1549.4,1550.2,899.0,Durable Goods Orders MoM
2018-01-26 08:30:00,-80.46500000000378,stopped_post,1609.3,1607.6906999999999,4.0,Durable Goods Orders MoM
2018-02-27 08:30:00,-80.00000000000682,stopped_pre,1560.7,1559.1,-20.0,Durable Goods Orders MoM
2018-03-23 08:30:00,85.00000000000227,timed,1544.2,1545.9,896.0,Durable Goods Orders MoM
2018-04-26 08:30:00,-29.999999999995453,timed,1556.8,1556.2,897.0,Durable Goods Orders MoM
2018-05-25 08:30:00,-20.000000000004547,timed,1627.4,1627.0,896.0,Durable Goods Orders MoM
2018-06-27 08:30:00,220.00000000000455,timed,1667.1,1671.5,898.0,Durable Goods Orders MoM
2018-07-26 08:30:00,10.000000000002274,timed,1689.7,1689.9,898.0,Durable Goods Orders MoM
2018-08-24 08:30:00,-14.999999999997726,timed,1723.0,1722.7,887.0,Durable Goods Orders MoM
2018-09-27 08:30:00,0.0,timed,1698.3,1698.3,899.0,Durable Goods Orders MoM
2018-10-25 08:30:00,-74.05999999999722,stopped_post,1481.2,1479.7188,749.0,Durable Goods Orders MoM
2018-11-21 08:30:00,-75.0,stopped_post,1478.6,1477.1,34.0,Durable Goods Orders MoM
2018-12-21 08:30:00,270.00000000000455,tp,1335.3,1340.7,628.0,Durable Goods Orders MoM
2019-02-21 08:30:00,-79.12999999999784,stopped_post,1582.6,1581.0174,24.0,Durable Goods Orders MoM
2019-03-13 08:30:00,9.999999999990905,timed,1558.9,1559.1,900.0,Durable Goods Orders MoM
2019-04-02 08:30:00,-5.000000000006821,timed,1562.4,1562.3,899.0,Durable Goods Orders MoM
2019-04-25 08:30:00,-29.999999999995453,timed,1587.8,1587.2,900.0,Durable Goods Orders MoM
2019-05-24 08:30:00,-19.99999999999318,timed,1509.1,1508.7,896.0,Durable Goods Orders MoM
2019-06-26 08:30:00,-79.99999999999545,stopped_post,1532.1,1530.5,368.0,Durable Goods Orders MoM
2019-07-25 08:30:00,-79.4149999999945,stopped_post,1588.3,1586.7117,851.0,Durable Goods Orders MoM
2019-08-26 08:30:00,135.00000000000227,timed,1473.0,1475.7,900.0,Durable Goods Orders MoM
2019-09-27 08:30:00,0.0,timed,1541.2,1541.2,891.0,Durable Goods Orders MoM
2019-10-24 08:30:00,-45.00000000000455,timed,1557.4,1556.5,900.0,Durable Goods Orders MoM
2019-11-27 08:30:00,100.0,timed,1628.1,1630.1,900.0,Durable Goods Orders MoM
2019-12-23 08:30:00,19.99999999999318,timed,1676.7,1677.1,889.0,Durable Goods Orders MoM
2020-01-28 08:30:00,-55.00000000000682,timed,1658.2,1657.1,896.0,Durable Goods Orders MoM
2020-02-27 08:30:00,-76.4850000000024,stopped_post,1529.7,1528.1703,377.0,Durable Goods Orders MoM
2020-03-25 08:30:00,-53.90999999999622,stopped_pre,1078.2,1077.1218000000001,-287.0,Durable Goods Orders MoM
2020-04-24 08:30:00,245.00000000000455,tp,1211.1,1216.0,816.0,Durable Goods Orders MoM
2020-05-28 08:30:00,-72.34999999999445,stopped_post,1447.0,1445.553,78.0,Durable Goods Orders MoM
2020-06-25 08:30:00,-68.9049999999952,stopped_post,1378.1,1376.7219,5.0,Durable Goods Orders MoM
2020-07-27 08:30:00,-75.0,stopped_post,1469.5,1468.0,73.0,Durable Goods Orders MoM
2020-08-26 08:30:00,25.0,timed,1566.8,1567.3,900.0,Durable Goods Orders MoM
