instrument,release,n,pearson_r,pearson_p,spearman_r,spearman_p,passes_alpha,rule_accuracy,rule_ci_lo,rule_ci_hi,tradeable,provenance_verified,perm_p,control_spearman_p
ES,ADP Employment Change,101,0.05905843062591189,0.5574357948092582,0.14417006406523003,0.15032551993243448,False,0.51,0.4134801193183753,0.6057800107171506,False,True,,
ES,API Crude Oil Stock Change,262,-0.03353681362117086,0.588923136196634,-0.08120525883261555,0.1900936837150059,False,0.5601659751037344,0.4970408911980272,0.6214031016595067,False,False,,
ES,Average Hourly Earnings MoM,103,-0.05649880746573683,0.5708123920941033,0.011652809964349548,0.9069997238372816,False,0.53,0.43288856967879386,0.6248918204277839,False,True,,
ES,Average Hourly Earnings YoY,83,-0.07456243437934164,0.5029039567524097,-0.041770743696362175,0.7077035912580986,False,0.5375,0.4290435758880117,0.6425200643952849,False,True,,
ES,Average Weekly Hours,103,-0.011640562986494357,0.9070970295792858,0.03644111542102903,0.7147794212443329,False,0.54,0.4426486032113423,0.6343919169307612,False,True,,
ES,Balance of Trade,104,-0.015164701908203782,0.8785639966349359,-0.118191808305119,0.23210640046714245,False,0.504950495049505,0.4090648919102948,0.6004733195113248,False,True,,
ES,Building Permits,57,0.16643255231011259,0.2159566157722166,0.22174322031196467,0.09736920411595963,False,0.7169811320754718,0.5842971358031898,0.8203370955564198,False,True,,
ES,Business Inventories MoM,103,-0.054753525612975085,0.5827871042793499,0.07251900013179283,0.4666352728706975,False,0.5686274509803921,0.47174977730153655,0.6605235318133623,False,True,,
ES,CB Consumer Confidence,103,0.28833973292319337,0.0031407422393520705,0.2757041309040067,0.00482047061510448,False,0.6185567010309279,0.5191274393510319,0.7089533546851294,False,True,,
ES,CB Leading Index MoM,100,-0.004986300582881665,0.9607309008493032,0.013801545774120525,0.8915946083629617,False,0.5257731958762887,0.4273277034745463,0.6222550778376628,False,True,,
ES,CPI,38,0.04824112529951715,0.7736439387581809,-0.044534412955465584,0.7906323477154263,False,0.5,0.3484992836116624,0.6515007163883376,False,True,,
ES,Capacity Utilization,101,-0.14986723245318387,0.13468973334791362,-0.0729337761153239,0.4685637367844872,False,0.5729166666666666,0.4730431412209824,0.6671791688805744,False,True,,
ES,Chicago PMI,103,0.16158846113310554,0.10296104339807816,0.22739753108114047,0.02088714613028176,False,0.5825242718446602,0.4860016272500036,0.6731126359522916,False,True,,
ES,Construction Spending MoM,101,-0.04432889226901783,0.6598132079015914,-0.029749563191613274,0.7677469180570834,False,0.56,0.4622810464941731,0.6532797337189823,False,True,,
ES,Consumer Credit Change,103,0.11251625909536597,0.2578124499152472,0.07319644811352341,0.462471539458471,False,0.5454545454545454,0.44750694627283594,0.6400063980831001,False,True,,
ES,Continuing Jobless Claims,507,0.05388816845564037,0.22579314029979852,-0.022384497819958177,0.615074608531057,False,0.5176715176715176,0.4730531243619654,0.5620098837423473,False,True,,
ES,Core Inflation Rate MoM,99,0.01608523320410495,0.8744381734008003,-0.09402597402597403,0.3545925753444161,False,0.5454545454545454,0.44750694627283594,0.6400063980831001,False,True,,
ES,Core Inflation Rate YoY,100,0.03601120156292283,0.7220653028293652,-0.026378637863786376,0.7944663473885444,False,0.55,0.4524460299519491,0.6438546202256804,False,True,,
ES,Core PCE Price Index MoM,100,-0.08396680577985141,0.4062112277457955,-0.21347198761568512,0.03296347627249565,False,0.5816326530612245,0.48269880397872866,0.6744081364067871,False,True,,
ES,Core PCE Price Index YoY,91,-0.03754625609664619,0.7238322032746193,-0.06830705526357701,0.5199956615227461,False,0.5934065934065934,0.49069436044607206,0.6885521443110592,False,True,,
ES,Core PPI MoM,102,0.13049506716959677,0.19111408566806987,0.14710190600833106,0.1401089828917172,False,0.6,0.49945602852914517,0.6927710007594539,False,True,,
ES,Core PPI YoY,101,0.17970111977818368,0.07215126153109762,0.16116781052247586,0.10737602702437953,False,0.5957446808510638,0.4946729927617103,0.689298099008859,False,True,,
ES,Durable Goods Orders Ex Transp MoM,102,0.08022273037474573,0.4228321963566068,0.03140108916415503,0.7540495773315473,False,0.5463917525773195,0.4474409242724181,0.6418080820895579,False,True,,
ES,Durable Goods Orders MoM,103,0.07212334952645318,0.46907646800305247,0.09563192651190565,0.3365935305752537,False,0.5102040816326531,0.4127304709807342,0.6069078965674553,False,True,,
ES,EIA Crude Oil Stocks Change,524,-0.0463364029110008,0.2897253000562831,0.012911254180345427,0.7681019033986136,False,0.5505836575875487,0.5073631922037025,0.5930536421653361,False,False,,
