title,et,unverified,jump_pct,res_pct,pred,abs_fp
Durable Goods Orders MoM,2021-11-24 08:30:00,False,0.0259044987479453,0.030220610456342997,0.03477124789292278,0.6000000000000001
Non Farm Payrolls,2021-12-03 08:30:00,False,0.12667390517554208,0.24436600597337477,0.2224121816760251,4.0
Inflation Rate MoM,2021-12-10 08:30:00,False,0.39127501686529426,0.6431012772081391,0.03893092162957511,0.20000000000000007
Retail Sales MoM,2021-12-15 08:30:00,False,0.0509424350483911,0.018524521835784322,0.05203250851626774,1.0
Fed Interest Rate Decision,2021-12-15 14:00:00,False,0.5077087894173036,0.9640910996227597,0.06240097347709335,0.0
Durable Goods Orders MoM,2021-12-23 08:30:00,False,0.02241348395194549,0.04482495853691335,0.028454261479580308,1.5
Non Farm Payrolls,2022-01-07 08:30:00,False,0.10438887123858426,0.25415267314150447,0.20803391073555816,151.0
Inflation Rate MoM,2022-01-12 08:30:00,False,0.009115354815198618,0.4603463992707342,0.05010699791746686,0.4
Retail Sales MoM,2022-01-14 08:30:00,False,0.03741114852226814,0.39740053298424427,0.05203250851626774,0.2
Fed Interest Rate Decision,2022-01-26 14:00:00,False,0.23129921259842745,0.5068149387393571,0.06385288295766554,0.0
Durable Goods Orders MoM,2022-01-27 08:30:00,False,0.015145395799674602,0.0050487201494375245,0.028454261479580308,3.7
Non Farm Payrolls,2022-02-04 08:30:00,False,0.1720909044895526,0.44014975209955576,0.20803391073555816,360.0
Inflation Rate MoM,2022-02-10 08:30:00,False,0.3850967555598344,1.3335901015839304,0.05010699791746686,0.09999999999999998
Retail Sales MoM,2022-02-16 08:30:00,False,0.14006955177743868,0.16905762449886488,0.05203250851626774,4.5
Durable Goods Orders MoM,2022-02-25 08:30:00,False,0.1146446017346204,0.1943973681587012,0.026520155032607393,0.3999999999999999
Non Farm Payrolls,2022-03-04 08:30:00,False,0.2986114567262231,0.2041527660210196,0.20803391073555816,81.0
Inflation Rate MoM,2022-03-10 08:30:00,False,0.19118534916483107,0.14087341517408844,0.05010699791746686,0.20000000000000007
Retail Sales MoM,2022-03-16 08:30:00,False,0.05027146591594611,0.17597667052139374,0.05303516877878195,4.5
