release,instrument,n,mde_r,bonferroni_alpha
New Home Sales MoM,CL,70,0.5266776297218603,7.776049766718508e-05
Michigan Consumer Expectations Final,CL,69,0.5298635577926925,7.776049766718508e-05
Net Long-term TIC Flows,CL,67,0.536410675208352,7.776049766718508e-05
Total Vehicle Sales,CL,67,0.536410675208352,7.776049766718508e-05
Wholesale Inventories MoM Adv,CL,65,0.5432034742215733,7.776049766718508e-05
CPI,CL,62,0.5538875788154687,7.776049766718508e-05
Goods Trade Balance Adv,CL,60,0.561365383042495,7.776049766718508e-05
PCE Price Index MoM,CL,54,0.5857221316794382,7.776049766718508e-05
IBD/TIPP Economic Optimism,CL,52,0.5945590651599607,7.776049766718508e-05
Non Defense Goods Orders Ex Air,CL,52,0.5945590651599607,7.776049766718508e-05
PCE Price Index YoY,CL,50,0.603799213960116,7.776049766718508e-05
EIA Crude Oil Stocks Change,ES,549,0.20228489228560564,7.776049766718508e-05
Initial Jobless Claims,ES,548,0.20246528041501022,7.776049766718508e-05
EIA Gasoline Stocks Change,ES,541,0.2037416537227553,7.776049766718508e-05
EIA Natural Gas Stocks Change,ES,540,0.20392597012249197,7.776049766718508e-05
Continuing Jobless Claims,ES,531,0.20560764108408877,7.776049766718508e-05
EIA Distillate Stocks Change,ES,334,0.25750768600986784,7.776049766718508e-05
API Crude Oil Stock Change,ES,288,0.2765127887644907,7.776049766718508e-05
Balance of Trade,ES,128,0.4042200102428221,7.776049766718508e-05
Factory Orders MoM,ES,128,0.4042200102428221,7.776049766718508e-05
ISM Manufacturing PMI,ES,128,0.4042200102428221,7.776049766718508e-05
Business Inventories MoM,ES,127,0.40566222334560903,7.776049766718508e-05
CB Consumer Confidence,ES,127,0.40566222334560903,7.776049766718508e-05
Chicago PMI,ES,127,0.40566222334560903,7.776049766718508e-05
Consumer Credit Change,ES,127,0.40566222334560903,7.776049766718508e-05
Durable Goods Orders MoM,ES,127,0.40566222334560903,7.776049766718508e-05
Existing Home Sales,ES,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Final,ES,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Prel,ES,127,0.40566222334560903,7.776049766718508e-05
NAHB Housing Market Index,ES,127,0.40566222334560903,7.776049766718508e-05
NY Empire State Manufacturing Index,ES,127,0.40566222334560903,7.776049766718508e-05
Pending Home Sales MoM,ES,127,0.40566222334560903,7.776049766718508e-05
Philadelphia Fed Manufacturing Index,ES,127,0.40566222334560903,7.776049766718508e-05
Retail Sales Ex Autos MoM,ES,127,0.40566222334560903,7.776049766718508e-05
Retail Sales MoM,ES,127,0.40566222334560903,7.776049766718508e-05
S&P/Case-Shiller Home Price YoY,ES,127,0.40566222334560903,7.776049766718508e-05
Wholesale Inventories MoM,ES,127,0.40566222334560903,7.776049766718508e-05
Average Hourly Earnings MoM,ES,126,0.40711993474820624,7.776049766718508e-05
Average Weekly Hours,ES,126,0.40711993474820624,7.776049766718508e-05
Capacity Utilization,ES,126,0.40711993474820624,7.776049766718508e-05
Core PPI MoM,ES,126,0.40711993474820624,7.776049766718508e-05
Durable Goods Orders Ex Transp MoM,ES,126,0.40711993474820624,7.776049766718508e-05
Industrial Production MoM,ES,126,0.40711993474820624,7.776049766718508e-05
Manufacturing Payrolls,ES,126,0.40711993474820624,7.776049766718508e-05
Non Farm Payrolls,ES,126,0.40711993474820624,7.776049766718508e-05
Nonfarm Payrolls Private,ES,126,0.40711993474820624,7.776049766718508e-05
PPI MoM,ES,126,0.40711993474820624,7.776049766718508e-05
Personal Spending MoM,ES,126,0.40711993474820624,7.776049766718508e-05
Unemployment Rate,ES,126,0.40711993474820624,7.776049766718508e-05
ADP Employment Change,ES,125,0.4085934230131286,7.776049766718508e-05
CB Leading Index MoM,ES,125,0.4085934230131286,7.776049766718508e-05
Construction Spending MoM,ES,125,0.4085934230131286,7.776049766718508e-05
Core Inflation Rate YoY,ES,125,0.4085934230131286,7.776049766718508e-05
Core PCE Price Index MoM,ES,125,0.4085934230131286,7.776049766718508e-05
Core PPI YoY,ES,125,0.4085934230131286,7.776049766718508e-05
ISM Manufacturing Prices,ES,125,0.4085934230131286,7.776049766718508e-05
Inflation Rate YoY,ES,125,0.4085934230131286,7.776049766718508e-05
PPI YoY,ES,125,0.4085934230131286,7.776049766718508e-05
Core Inflation Rate MoM,ES,124,0.4100829737335035,7.776049766718508e-05
Export Prices MoM,ES,124,0.4100829737335035,7.776049766718508e-05
Housing Starts,ES,124,0.4100829737335035,7.776049766718508e-05
Import Prices MoM,ES,124,0.4100829737335035,7.776049766718508e-05
Inflation Rate MoM,ES,124,0.4100829737335035,7.776049766718508e-05
JOLTs Job Openings,ES,124,0.4100829737335035,7.776049766718508e-05
Monthly Budget Statement,ES,124,0.4100829737335035,7.776049766718508e-05
New Home Sales,ES,123,0.4115888797617477,7.776049766718508e-05
Core PCE Price Index YoY,ES,116,0.42261440904575215,7.776049766718508e-05
Personal Income MoM,ES,111,0.4310530937942487,7.776049766718508e-05
Average Hourly Earnings YoY,ES,106,0.44001600352942555,7.776049766718508e-05
Michigan Current Conditions Prel,ES,96,0.4597485116306709,7.776049766718508e-05
Michigan Consumer Expectations Prel,ES,94,0.46402146418032153,7.776049766718508e-05
Manufacturing Production MoM,ES,89,0.47524438558718884,7.776049766718508e-05
NFIB Business Optimism Index,ES,89,0.47524438558718884,7.776049766718508e-05
ISM Non-Manufacturing PMI,ES,87,0.4799656186678168,7.776049766718508e-05
Richmond Fed Manufacturing Index,ES,87,0.4799656186678168,7.776049766718508e-05
Fed Interest Rate Decision,ES,84,0.48731695017867094,7.776049766718508e-05
