n,mde_r,grid,judge_at_r,at_mde_rate,min_hits_required,pass_,smallest_detected,reason,instrument,release,n_matrix
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.72,17,True,0.507,detection at its MDE (0.406) is 72% — consistent with the nominal 80% power,CL,Pending Home Sales MoM,127
109,0.4345723757557835,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.435, 0.543]",0.435,0.72,17,True,0.543,detection at its MDE (0.435) is 72% — consistent with the nominal 80% power,CL,Personal Income MoM,111
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,CL,Personal Spending MoM,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.507,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,CL,Philadelphia Fed Manufacturing Index,127
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.96,17,True,0.509,detection at its MDE (0.407) is 96% — consistent with the nominal 80% power,CL,Retail Sales Ex Autos MoM,127
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.4,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,CL,Retail Sales MoM,127
87,0.4799656186678168,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.48, 0.6]",0.48,0.76,17,True,0.6,detection at its MDE (0.480) is 76% — consistent with the nominal 80% power,CL,Richmond Fed Manufacturing Index,87
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.72,17,True,0.4,detection at its MDE (0.406) is 72% — consistent with the nominal 80% power,CL,S&P/Case-Shiller Home Price YoY,127
62,0.5538875788154687,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.554, 0.692]",0.554,0.88,17,True,0.554,detection at its MDE (0.554) is 88% — consistent with the nominal 80% power,CL,Total Vehicle Sales,67
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,0.92,17,True,0.4,detection at its MDE (0.410) is 92% — consistent with the nominal 80% power,CL,Unemployment Rate,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.92,17,True,0.406,detection at its MDE (0.406) is 92% — consistent with the nominal 80% power,CL,Wholesale Inventories MoM,127
65,0.5432034742215733,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.543, 0.679]",0.679,1.0,17,True,0.679,detection at its MDE (0.543) is 100% — consistent with the nominal 80% power,CL,Wholesale Inventories MoM Adv,65
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.84,17,True,0.409,detection at its MDE (0.409) is 84% — consistent with the nominal 80% power,ES,ADP Employment Change,125
285,0.2779031745237019,"[0.05, 0.1, 0.15, 0.2, 0.278, 0.3, 0.347, 0.4]",0.278,0.92,17,True,0.278,detection at its MDE (0.278) is 92% — consistent with the nominal 80% power,ES,API Crude Oil Stock Change,288
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.507,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,ES,Average Hourly Earnings MoM,126
107,0.43817889711596864,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.438, 0.548]",0.548,1.0,17,True,0.438,detection at its MDE (0.438) is 100% — consistent with the nominal 80% power,ES,Average Hourly Earnings YoY,106
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.92,17,True,0.406,detection at its MDE (0.406) is 92% — consistent with the nominal 80% power,ES,Average Weekly Hours,126
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.4,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,ES,Balance of Trade,128
81,0.49501400145984564,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.495, 0.619]",0.619,0.96,17,True,0.619,detection at its MDE (0.495) is 96% — consistent with the nominal 80% power,ES,Building Permits,82
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.4,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,ES,Business Inventories MoM,127
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.8,17,True,0.406,detection at its MDE (0.406) is 80% — consistent with the nominal 80% power,ES,CB Consumer Confidence,127
