n,mde_r,grid,judge_at_r,at_mde_rate,min_hits_required,pass_,smallest_detected,reason,instrument,release,n_matrix
495,0.21277585246076325,"[0.05, 0.1, 0.15, 0.2, 0.213, 0.266, 0.3, 0.4]",0.213,0.6,17,False,0.266,detection at its MDE is only 60% (<17/25) — significantly BELOW nominal power,NG,EIA Natural Gas Stocks Change,495
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,1.0,17,True,0.53,detection at its MDE (0.424) is 100% — consistent with the nominal 80% power,NG,Existing Home Sales,115
60,0.561365383042495,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.561, 0.702]",0.702,0.96,17,True,0.561,detection at its MDE (0.561) is 96% — consistent with the nominal 80% power,NG,Existing Home Sales MoM,60
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,1.0,17,True,0.429,detection at its MDE (0.429) is 100% — consistent with the nominal 80% power,NG,Export Prices MoM,112
116,0.42261440904575215,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.423, 0.528]",0.423,0.8,17,True,0.4,detection at its MDE (0.423) is 80% — consistent with the nominal 80% power,NG,Factory Orders MoM,116
76,0.508687309960834,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.509, 0.636]",0.509,0.84,17,True,0.509,detection at its MDE (0.509) is 84% — consistent with the nominal 80% power,NG,Fed Interest Rate Decision,76
58,0.5691494111348581,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.569, 0.711]",0.711,1.0,17,True,0.711,detection at its MDE (0.569) is 100% — consistent with the nominal 80% power,NG,Goods Trade Balance Adv,58
71,0.5235478653387513,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.524, 0.654]",0.524,0.88,17,True,0.524,detection at its MDE (0.524) is 88% — consistent with the nominal 80% power,NG,House Price Index MoM,71
111,0.4310530937942487,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.431, 0.539]",0.539,1.0,17,True,0.431,detection at its MDE (0.431) is 100% — consistent with the nominal 80% power,NG,Housing Starts,112
63,0.5502574441645646,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.55, 0.688]",0.688,1.0,17,True,0.55,detection at its MDE (0.550) is 100% — consistent with the nominal 80% power,NG,ISM Manufacturing Employment,63
116,0.42261440904575215,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.423, 0.528]",0.423,0.72,17,True,0.528,detection at its MDE (0.423) is 72% — consistent with the nominal 80% power,NG,ISM Manufacturing PMI,116
113,0.42761760619278244,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.428, 0.535]",0.428,0.72,17,True,0.4,detection at its MDE (0.428) is 72% — consistent with the nominal 80% power,NG,ISM Manufacturing Prices,113
62,0.5538875788154687,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.554, 0.692]",0.554,0.76,17,True,0.692,detection at its MDE (0.554) is 76% — consistent with the nominal 80% power,NG,ISM Non-Manufacturing Business Activity,62
75,0.5115591836472961,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.512, 0.639]",0.512,0.8,17,True,0.512,detection at its MDE (0.512) is 80% — consistent with the nominal 80% power,NG,ISM Non-Manufacturing PMI,75
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,1.0,17,True,0.429,detection at its MDE (0.429) is 100% — consistent with the nominal 80% power,NG,Import Prices MoM,112
113,0.42761760619278244,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.428, 0.535]",0.428,0.8,17,True,0.428,detection at its MDE (0.428) is 80% — consistent with the nominal 80% power,NG,Industrial Production MoM,114
110,0.4328020496930235,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.433, 0.541]",0.433,0.88,17,True,0.433,detection at its MDE (0.433) is 88% — consistent with the nominal 80% power,NG,Inflation Rate MoM,112
111,0.4310530937942487,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.431, 0.539]",0.539,1.0,17,True,0.431,detection at its MDE (0.431) is 100% — consistent with the nominal 80% power,NG,Inflation Rate YoY,113
495,0.21277585246076325,"[0.05, 0.1, 0.15, 0.2, 0.213, 0.266, 0.3, 0.4]",0.213,0.8,17,True,0.213,detection at its MDE (0.213) is 80% — consistent with the nominal 80% power,NG,Initial Jobless Claims,496
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,1.0,17,True,0.4,detection at its MDE (0.429) is 100% — consistent with the nominal 80% power,NG,JOLTs Job Openings,112
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,1.0,17,True,0.537,detection at its MDE (0.429) is 100% — consistent with the nominal 80% power,NG,Manufacturing Payrolls,114
88,0.4775876205624139,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.478, 0.597]",0.478,0.88,17,True,0.478,detection at its MDE (0.478) is 88% — consistent with the nominal 80% power,NG,Manufacturing Production MoM,89
69,0.5298635577926925,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.53, 0.662]",0.53,0.84,17,True,0.53,detection at its MDE (0.530) is 84% — consistent with the nominal 80% power,NG,Michigan Consumer Expectations Final,69
94,0.46402146418032153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.464, 0.58]",0.58,1.0,17,True,0.58,detection at its MDE (0.464) is 100% — consistent with the nominal 80% power,NG,Michigan Consumer Expectations Prel,94
114,0.425930260057537,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.426, 0.532]",0.426,0.64,17,False,0.532,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,NG,Michigan Consumer Sentiment Final,115
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,0.96,17,True,0.424,detection at its MDE (0.424) is 96% — consistent with the nominal 80% power,NG,Michigan Consumer Sentiment Prel,115
71,0.5235478653387513,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.524, 0.654]",0.524,0.84,17,True,0.524,detection at its MDE (0.524) is 84% — consistent with the nominal 80% power,NG,Michigan Current Conditions Final,72
96,0.4597485116306709,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.46, 0.575]",0.46,0.92,17,True,0.46,detection at its MDE (0.460) is 92% — consistent with the nominal 80% power,NG,Michigan Current Conditions Prel,96
111,0.4310530937942487,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.431, 0.539]",0.539,0.96,17,True,0.431,detection at its MDE (0.431) is 96% — consistent with the nominal 80% power,NG,Monthly Budget Statement,112
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,1.0,17,True,0.424,detection at its MDE (0.424) is 100% — consistent with the nominal 80% power,NG,NAHB Housing Market Index,115
79,0.500350983813214,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.5, 0.625]",0.625,0.96,17,True,0.5,detection at its MDE (0.500) is 96% — consistent with the nominal 80% power,NG,NFIB Business Optimism Index,79
113,0.42761760619278244,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.428, 0.535]",0.428,0.8,17,True,0.428,detection at its MDE (0.428) is 80% — consistent with the nominal 80% power,NG,NY Empire State Manufacturing Index,115
62,0.5538875788154687,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.554, 0.692]",0.554,0.84,17,True,0.554,detection at its MDE (0.554) is 84% — consistent with the nominal 80% power,NG,Net Long-term TIC Flows,62
111,0.4310530937942487,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.431, 0.539]",0.539,1.0,17,True,0.431,detection at its MDE (0.431) is 100% — consistent with the nominal 80% power,NG,New Home Sales,111
58,0.5691494111348581,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.569, 0.711]",0.711,1.0,17,True,0.569,detection at its MDE (0.569) is 100% — consistent with the nominal 80% power,NG,New Home Sales MoM,58
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.6,17,False,0.743,detection at its MDE is only 60% (<17/25) — significantly BELOW nominal power,NG,Non Defense Goods Orders Ex Air,52
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,1.0,17,True,0.429,detection at its MDE (0.429) is 100% — consistent with the nominal 80% power,NG,Non Farm Payrolls,114
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,1.0,17,True,0.429,detection at its MDE (0.429) is 100% — consistent with the nominal 80% power,NG,Nonfarm Payrolls Private,114
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.88,17,True,0.595,detection at its MDE (0.595) is 88% — consistent with the nominal 80% power,NG,PCE Price Index MoM,53
49,0.6085799284185589,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.609, 0.761]",0.609,0.8,17,True,0.609,detection at its MDE (0.609) is 80% — consistent with the nominal 80% power,NG,PCE Price Index YoY,50
114,0.425930260057537,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.426, 0.532]",0.426,0.84,17,True,0.4,detection at its MDE (0.426) is 84% — consistent with the nominal 80% power,NG,PPI MoM,114
114,0.425930260057537,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.426, 0.532]",0.426,0.92,17,True,0.426,detection at its MDE (0.426) is 92% — consistent with the nominal 80% power,NG,PPI YoY,114
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,0.96,17,True,0.4,detection at its MDE (0.424) is 96% — consistent with the nominal 80% power,NG,Pending Home Sales MoM,115
109,0.4345723757557835,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.435, 0.543]",0.435,0.8,17,True,0.435,detection at its MDE (0.435) is 80% — consistent with the nominal 80% power,NG,Personal Income MoM,111
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,0.96,17,True,0.537,detection at its MDE (0.429) is 96% — consistent with the nominal 80% power,NG,Personal Spending MoM,114
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,1.0,17,True,0.53,detection at its MDE (0.424) is 100% — consistent with the nominal 80% power,NG,Philadelphia Fed Manufacturing Index,115
114,0.425930260057537,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.426, 0.532]",0.426,0.68,17,True,0.4,detection at its MDE (0.426) is 68% — consistent with the nominal 80% power,NG,Retail Sales Ex Autos MoM,115
114,0.425930260057537,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.426, 0.532]",0.426,0.68,17,True,0.532,detection at its MDE (0.426) is 68% — consistent with the nominal 80% power,NG,Retail Sales MoM,115
75,0.5115591836472961,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.512, 0.639]",0.512,0.76,17,True,0.639,detection at its MDE (0.512) is 76% — consistent with the nominal 80% power,NG,Richmond Fed Manufacturing Index,75
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,1.0,17,True,0.53,detection at its MDE (0.424) is 100% — consistent with the nominal 80% power,NG,S&P/Case-Shiller Home Price YoY,115
50,0.603799213960116,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.604, 0.755]",0.604,0.8,17,True,0.604,detection at its MDE (0.604) is 80% — consistent with the nominal 80% power,NG,Total Vehicle Sales,55
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,0.96,17,True,0.429,detection at its MDE (0.429) is 96% — consistent with the nominal 80% power,NG,Unemployment Rate,114
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,1.0,17,True,0.424,detection at its MDE (0.424) is 100% — consistent with the nominal 80% power,NG,Wholesale Inventories MoM,115
62,0.5538875788154687,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.554, 0.692]",0.554,0.84,17,True,0.554,detection at its MDE (0.554) is 84% — consistent with the nominal 80% power,NG,Wholesale Inventories MoM Adv,62
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.88,17,True,0.409,detection at its MDE (0.409) is 88% — consistent with the nominal 80% power,NQ,ADP Employment Change,125
285,0.2779031745237019,"[0.05, 0.1, 0.15, 0.2, 0.278, 0.3, 0.347, 0.4]",0.278,0.64,17,False,0.3,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,NQ,API Crude Oil Stock Change,288
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.72,17,True,0.4,detection at its MDE (0.406) is 72% — consistent with the nominal 80% power,NQ,Average Hourly Earnings MoM,126
107,0.43817889711596864,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.438, 0.548]",0.548,1.0,17,True,0.548,detection at its MDE (0.438) is 100% — consistent with the nominal 80% power,NQ,Average Hourly Earnings YoY,106
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.6,17,False,0.4,detection at its MDE is only 60% (<17/25) — significantly BELOW nominal power,NQ,Average Weekly Hours,126
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.4,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,NQ,Balance of Trade,128
80,0.497661210671232,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.498, 0.622]",0.498,0.92,17,True,0.498,detection at its MDE (0.498) is 92% — consistent with the nominal 80% power,NQ,Building Permits,82
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.4,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,NQ,Business Inventories MoM,127
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.8,17,True,0.406,detection at its MDE (0.406) is 80% — consistent with the nominal 80% power,NQ,CB Consumer Confidence,127
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.41,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,NQ,CB Leading Index MoM,125
62,0.5538875788154687,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.554, 0.692]",0.554,0.92,17,True,0.554,detection at its MDE (0.554) is 92% — consistent with the nominal 80% power,NQ,CPI,62
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.84,17,True,0.409,detection at its MDE (0.409) is 84% — consistent with the nominal 80% power,NQ,Capacity Utilization,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.72,17,True,0.4,detection at its MDE (0.406) is 72% — consistent with the nominal 80% power,NQ,Chicago PMI,127
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.92,17,True,0.4,detection at its MDE (0.409) is 92% — consistent with the nominal 80% power,NQ,Construction Spending MoM,125
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.88,17,True,0.406,detection at its MDE (0.406) is 88% — consistent with the nominal 80% power,NQ,Consumer Credit Change,127
531,0.20560764108408877,"[0.05, 0.1, 0.15, 0.2, 0.206, 0.257, 0.3, 0.4]",0.206,0.68,17,True,0.257,detection at its MDE (0.206) is 68% — consistent with the nominal 80% power,NQ,Continuing Jobless Claims,531
122,0.4131114414473481,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.413, 0.516]",0.516,0.96,17,True,0.4,detection at its MDE (0.413) is 96% — consistent with the nominal 80% power,NQ,Core Inflation Rate MoM,124
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.68,17,True,0.514,detection at its MDE (0.412) is 68% — consistent with the nominal 80% power,NQ,Core Inflation Rate YoY,125
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,NQ,Core PCE Price Index MoM,125
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,1.0,17,True,0.53,detection at its MDE (0.424) is 100% — consistent with the nominal 80% power,NQ,Core PCE Price Index YoY,116
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.96,17,True,0.509,detection at its MDE (0.407) is 96% — consistent with the nominal 80% power,NQ,Core PPI MoM,126
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.56,17,False,0.4,detection at its MDE is only 56% (<17/25) — significantly BELOW nominal power,NQ,Core PPI YoY,125
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.407,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,NQ,Durable Goods Orders Ex Transp MoM,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.72,17,True,0.507,detection at its MDE (0.406) is 72% — consistent with the nominal 80% power,NQ,Durable Goods Orders MoM,127
548,0.20246528041501022,"[0.05, 0.1, 0.15, 0.2, 0.202, 0.253, 0.3, 0.4]",0.253,0.96,17,True,0.253,detection at its MDE (0.202) is 96% — consistent with the nominal 80% power,NQ,EIA Crude Oil Stocks Change,549
333,0.25788004564153333,"[0.05, 0.1, 0.15, 0.2, 0.258, 0.3, 0.322, 0.4]",0.258,0.84,17,True,0.258,detection at its MDE (0.258) is 84% — consistent with the nominal 80% power,NQ,EIA Distillate Stocks Change,334
540,0.20392597012249197,"[0.05, 0.1, 0.15, 0.2, 0.204, 0.255, 0.3, 0.4]",0.204,0.8,17,True,0.2,detection at its MDE (0.204) is 80% — consistent with the nominal 80% power,NQ,EIA Gasoline Stocks Change,541
540,0.20392597012249197,"[0.05, 0.1, 0.15, 0.2, 0.204, 0.255, 0.3, 0.4]",0.204,0.68,17,True,0.255,detection at its MDE (0.204) is 68% — consistent with the nominal 80% power,NQ,EIA Natural Gas Stocks Change,540
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.64,17,False,0.507,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,NQ,Existing Home Sales,127
72,0.5204726554299641,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.52, 0.651]",0.651,1.0,17,True,0.52,detection at its MDE (0.520) is 100% — consistent with the nominal 80% power,NQ,Existing Home Sales MoM,72
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,NQ,Export Prices MoM,124
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.4,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,NQ,Factory Orders MoM,128
84,0.48731695017867094,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.487, 0.609]",0.609,1.0,17,True,0.487,detection at its MDE (0.487) is 100% — consistent with the nominal 80% power,NQ,Fed Interest Rate Decision,84
60,0.561365383042495,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.561, 0.702]",0.702,0.96,17,True,0.561,detection at its MDE (0.561) is 96% — consistent with the nominal 80% power,NQ,Goods Trade Balance Adv,60
81,0.49501400145984564,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.495, 0.619]",0.619,1.0,17,True,0.495,detection at its MDE (0.495) is 100% — consistent with the nominal 80% power,NQ,House Price Index MoM,81
122,0.4131114414473481,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.413, 0.516]",0.516,1.0,17,True,0.516,detection at its MDE (0.413) is 100% — consistent with the nominal 80% power,NQ,Housing Starts,124
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.76,17,True,0.743,detection at its MDE (0.595) is 76% — consistent with the nominal 80% power,NQ,IBD/TIPP Economic Optimism,52
75,0.5115591836472961,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.512, 0.639]",0.512,0.76,17,True,0.639,detection at its MDE (0.512) is 76% — consistent with the nominal 80% power,NQ,ISM Manufacturing Employment,75
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.404,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,NQ,ISM Manufacturing PMI,128
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.88,17,True,0.409,detection at its MDE (0.409) is 88% — consistent with the nominal 80% power,NQ,ISM Manufacturing Prices,125
73,0.5174504535373323,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.517, 0.647]",0.647,1.0,17,True,0.517,detection at its MDE (0.517) is 100% — consistent with the nominal 80% power,NQ,ISM Non-Manufacturing Business Activity,73
87,0.4799656186678168,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.48, 0.6]",0.48,0.64,17,False,0.6,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,NQ,ISM Non-Manufacturing PMI,87
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,NQ,Import Prices MoM,124
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.8,17,True,0.409,detection at its MDE (0.409) is 80% — consistent with the nominal 80% power,NQ,Industrial Production MoM,126
122,0.4131114414473481,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.413, 0.516]",0.516,1.0,17,True,0.4,detection at its MDE (0.413) is 100% — consistent with the nominal 80% power,NQ,Inflation Rate MoM,124
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.72,17,True,0.4,detection at its MDE (0.412) is 72% — consistent with the nominal 80% power,NQ,Inflation Rate YoY,125
547,0.20264615191443142,"[0.05, 0.1, 0.15, 0.2, 0.203, 0.253, 0.3, 0.4]",0.203,0.8,17,True,0.2,detection at its MDE (0.203) is 80% — consistent with the nominal 80% power,NQ,Initial Jobless Claims,548
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,0.96,17,True,0.41,detection at its MDE (0.410) is 96% — consistent with the nominal 80% power,NQ,JOLTs Job Openings,124
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.507,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,NQ,Manufacturing Payrolls,126
88,0.4775876205624139,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.478, 0.597]",0.478,0.88,17,True,0.478,detection at its MDE (0.478) is 88% — consistent with the nominal 80% power,NQ,Manufacturing Production MoM,89
69,0.5298635577926925,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.53, 0.662]",0.53,0.76,17,True,0.662,detection at its MDE (0.530) is 76% — consistent with the nominal 80% power,NQ,Michigan Consumer Expectations Final,69
94,0.46402146418032153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.464, 0.58]",0.58,1.0,17,True,0.464,detection at its MDE (0.464) is 100% — consistent with the nominal 80% power,NQ,Michigan Consumer Expectations Prel,94
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.8,17,True,0.406,detection at its MDE (0.406) is 80% — consistent with the nominal 80% power,NQ,Michigan Consumer Sentiment Final,127
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.84,17,True,0.4,detection at its MDE (0.406) is 84% — consistent with the nominal 80% power,NQ,Michigan Consumer Sentiment Prel,127
72,0.5204726554299641,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.52, 0.651]",0.651,1.0,17,True,0.52,detection at its MDE (0.520) is 100% — consistent with the nominal 80% power,NQ,Michigan Current Conditions Final,72
96,0.4597485116306709,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.46, 0.575]",0.46,0.84,17,True,0.46,detection at its MDE (0.460) is 84% — consistent with the nominal 80% power,NQ,Michigan Current Conditions Prel,96
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.76,17,True,0.4,detection at its MDE (0.412) is 76% — consistent with the nominal 80% power,NQ,Monthly Budget Statement,124
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.84,17,True,0.406,detection at its MDE (0.406) is 84% — consistent with the nominal 80% power,NQ,NAHB Housing Market Index,127
89,0.47524438558718884,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.475, 0.594]",0.594,0.96,17,True,0.475,detection at its MDE (0.475) is 96% — consistent with the nominal 80% power,NQ,NFIB Business Optimism Index,89
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.88,17,True,0.409,detection at its MDE (0.409) is 88% — consistent with the nominal 80% power,NQ,NY Empire State Manufacturing Index,127
67,0.536410675208352,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.536, 0.671]",0.671,1.0,17,True,0.671,detection at its MDE (0.536) is 100% — consistent with the nominal 80% power,NQ,Net Long-term TIC Flows,67
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.76,17,True,0.4,detection at its MDE (0.412) is 76% — consistent with the nominal 80% power,NQ,New Home Sales,123
70,0.5266776297218603,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.527, 0.658]",0.527,0.92,17,True,0.527,detection at its MDE (0.527) is 92% — consistent with the nominal 80% power,NQ,New Home Sales MoM,70
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.8,17,True,0.595,detection at its MDE (0.595) is 80% — consistent with the nominal 80% power,NQ,Non Defense Goods Orders Ex Air,52
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.4,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,NQ,Non Farm Payrolls,126
