instrument,release,n,pearson_r,pearson_p,spearman_r,spearman_p,passes_alpha,hit_rate,rule_accuracy,rule_ci_lo,rule_ci_hi,tradeable_possible,provenance_verified,perm_p,control_spearman_r,control_spearman_p
ES,IBD/TIPP Economic Optimism,28,,,,,False,,,,,False,True,,,
ES,ISM Manufacturing Employment,51,-0.039908303074629295,0.7809758925682104,0.0351131221719457,0.8067532701230011,False,0.43137254901960786,0.5686274509803921,0.4326530210622609,0.69498763894747,False,True,,,
ES,ISM Manufacturing PMI,104,0.3385427686009842,0.0004395240755459751,0.2629894377467193,0.006992217258632317,False,0.6057692307692307,0.6057692307692307,0.5096921459400212,0.6943110290931647,False,True,,,
ES,ISM Manufacturing Prices,101,0.07202442018891599,0.4741414019950982,0.06081537565521258,0.5457512738438967,False,0.5346534653465347,0.5346534653465347,0.4378967072304616,0.6288707727208755,False,True,,,
ES,ISM Non-Manufacturing Business Activity,49,0.08321859098013239,0.5697094081256944,0.15715889458303184,0.280841284485687,False,0.5217391304347826,0.5217391304347826,0.38137413069727216,0.6587531056888596,False,True,,,
ES,ISM Non-Manufacturing PMI,63,0.09780813907934272,0.4456940648123427,0.1848687055080095,0.1469186008757662,False,0.5333333333333333,0.5333333333333333,0.4089342702436931,0.6537209396117314,False,True,,,
ES,Import Prices MoM,100,-0.15773128366011452,0.11704218059118136,-0.1907225159459068,0.05733697912864097,False,0.4421052631578947,0.5578947368421052,0.45771096957419677,0.6535783631718342,False,True,,,
ES,Industrial Production MoM,101,-0.15224137660731593,0.12855207086450612,-0.07776354105998835,0.43954742151988285,False,0.5,0.5,0.4038315303442626,0.5961684696557374,False,True,,,
ES,Inflation Rate MoM,99,-0.43765816307694,5.898249635539494e-06,-0.5553246753246753,2.4375378748515914e-09,True,0.32323232323232326,0.6767676767676767,0.5795296789116788,0.7607999935836276,True,True,0.000999000999000999,,
ES,Inflation Rate YoY,100,-0.4332334278914934,6.725201991106031e-06,-0.5235523552355235,2.281276366780206e-08,True,0.31,0.69,0.5937394427816385,0.7722030278933534,True,True,0.000999000999000999,,
ES,Initial Jobless Claims,523,0.17141999244528683,8.146183951943872e-05,-0.03169246760287905,0.4695394034169938,False,0.48804780876494025,0.5119521912350598,0.46830144011548536,0.5554214078059437,False,True,,,
ES,JOLTs Job Openings,100,-0.09207662318127845,0.36222825513029866,-0.1114674811510602,0.26954737463749995,False,0.5204081632653061,0.5204081632653061,0.4226080629859068,0.6166686721104722,False,True,,,
ES,Manufacturing Payrolls,103,0.08214173104574415,0.40944614151252423,0.03837367658041559,0.7003565965189541,False,0.38235294117647056,0.6176470588235294,0.520697553674308,0.7060566905226615,False,True,,,
ES,Michigan Consumer Expectations Final,45,0.16688097283934306,0.27322108476495105,0.14176548089591567,0.35292329864492183,False,0.5777777777777777,0.5777777777777777,0.43300788705934923,0.7103129753546886,True,True,,,
ES,Michigan Consumer Expectations Prel,70,0.19057328714213537,0.11404693676540857,0.2074184235849882,0.08490083062012536,False,0.5428571428571428,0.5428571428571428,0.42698259202847233,0.6542725740486636,False,True,,,
ES,Michigan Consumer Sentiment Final,103,0.12010195945139687,0.2268912837588767,0.13341314142831728,0.17911486029216134,False,0.5148514851485149,0.5148514851485149,0.418639265935981,0.6099753683288778,False,True,,,
ES,Michigan Consumer Sentiment Prel,103,0.17855094000825525,0.07115156479491642,0.19837016210517067,0.044571509335293844,False,0.5145631067961165,0.5145631067961165,0.41926957084070865,0.6088094167832259,False,True,,,
ES,Michigan Current Conditions Final,48,0.18455640033902215,0.20920312789429954,0.22448979591836735,0.12503793795337584,False,0.6041666666666666,0.6041666666666666,0.463104084893048,0.7297917214198023,True,True,,,
ES,Michigan Current Conditions Prel,72,0.17888591248630178,0.1327132150695943,0.24303813750080394,0.0396757792874219,False,0.5416666666666666,0.5416666666666666,0.4273986728339544,0.6517137294477934,False,True,,,
ES,NAHB Housing Market Index,103,0.18877951380047106,0.05616803852002164,0.11534068444405395,0.24597927883014653,False,0.5445544554455446,0.5445544554455446,0.4475799808665162,0.6382639219280601,False,True,,,
ES,NFIB Business Optimism Index,65,0.0898257511151573,0.4767205749648832,-0.04645570652046773,0.7132691114713346,False,0.423728813559322,0.576271186440678,0.44934482797131137,0.6938727256730357,False,True,,,
ES,NY Empire State Manufacturing Index,101,0.12159379366558301,0.22578342327607867,0.09643262766545696,0.3374021679907703,False,0.5257731958762887,0.5257731958762887,0.42732770347454624,0.6222550778376628,False,True,,,
ES,Net Long-term TIC Flows,43,0.12846624875864063,0.41164847149751854,0.07976433834216343,0.6111389315724207,False,0.5128205128205128,0.5128205128205128,0.3619936288121113,0.661348246732866,False,True,,,
ES,New Home Sales,99,0.08581137136340714,0.39837441349003466,-0.028794063079777363,0.7772401601054257,False,0.48484848484848486,0.5151515151515151,0.41799338270028086,0.6111777320850311,False,True,,,
ES,New Home Sales MoM,46,0.21509089994569483,0.15113495260569312,0.3053345667591736,0.039069756428608375,False,0.5434782608695652,0.5434782608695652,0.4018018105665846,0.6784526622056792,False,True,,,
ES,Non Defense Goods Orders Ex Air,28,,,,,False,,,,,False,True,,,
