title,et,status
Fed Interest Rate Decision,2019-06-19 14:00:00,confirmed
Non Farm Payrolls,2019-07-05 08:30:00,confirmed
Inflation Rate MoM,2019-07-11 08:30:00,confirmed
Fed Interest Rate Decision,2019-07-31 14:00:00,confirmed
Non Farm Payrolls,2019-08-02 08:30:00,confirmed
Inflation Rate MoM,2019-08-13 08:30:00,confirmed
Non Farm Payrolls,2019-09-06 08:30:00,confirmed
Inflation Rate MoM,2019-09-12 08:30:00,confirmed
Fed Interest Rate Decision,2019-09-18 14:00:00,confirmed
Non Farm Payrolls,2019-10-04 08:30:00,confirmed
Inflation Rate MoM,2019-10-10 08:30:00,confirmed
Fed Interest Rate Decision,2019-10-30 14:00:00,confirmed
Non Farm Payrolls,2019-11-01 08:30:00,confirmed
Inflation Rate MoM,2019-11-13 08:30:00,confirmed
Non Farm Payrolls,2019-12-06 08:30:00,confirmed
Inflation Rate MoM,2019-12-11 08:30:00,confirmed
Fed Interest Rate Decision,2019-12-11 14:00:00,confirmed
Non Farm Payrolls,2020-01-10 08:30:00,confirmed
Inflation Rate MoM,2020-01-14 08:30:00,confirmed
Fed Interest Rate Decision,2020-01-29 14:00:00,confirmed
Non Farm Payrolls,2020-02-07 08:30:00,confirmed
Inflation Rate MoM,2020-02-13 08:30:00,confirmed
Non Farm Payrolls,2020-03-06 08:30:00,confirmed
Inflation Rate MoM,2020-03-11 08:30:00,confirmed
Non Farm Payrolls,2020-04-03 08:30:00,confirmed
Inflation Rate MoM,2020-04-10 08:30:00,confirmed
Fed Interest Rate Decision,2020-04-29 14:00:00,confirmed
Non Farm Payrolls,2020-05-08 08:30:00,confirmed
Inflation Rate MoM,2020-05-12 08:30:00,confirmed
Non Farm Payrolls,2020-06-05 08:30:00,confirmed
Inflation Rate MoM,2020-06-10 08:30:00,confirmed
Fed Interest Rate Decision,2020-06-10 14:00:00,confirmed
Non Farm Payrolls,2020-07-02 08:30:00,confirmed
Inflation Rate MoM,2020-07-14 08:30:00,confirmed
Fed Interest Rate Decision,2020-07-29 14:00:00,confirmed
Non Farm Payrolls,2020-08-07 08:30:00,confirmed
Inflation Rate MoM,2020-08-12 08:30:00,confirmed
Non Farm Payrolls,2020-09-04 08:30:00,confirmed
Inflation Rate MoM,2020-09-11 08:30:00,confirmed
Fed Interest Rate Decision,2020-09-16 14:00:00,confirmed
Non Farm Payrolls,2020-10-02 08:30:00,confirmed
Inflation Rate MoM,2020-10-13 08:30:00,confirmed
Fed Interest Rate Decision,2020-11-05 14:00:00,confirmed
Non Farm Payrolls,2020-11-06 08:30:00,confirmed
Inflation Rate MoM,2020-11-12 08:30:00,confirmed
Non Farm Payrolls,2020-12-04 08:30:00,confirmed
Inflation Rate MoM,2020-12-10 08:30:00,confirmed
Fed Interest Rate Decision,2020-12-16 14:00:00,confirmed
Non Farm Payrolls,2021-01-08 08:30:00,confirmed
Inflation Rate MoM,2021-01-13 08:30:00,confirmed
Fed Interest Rate Decision,2021-01-27 14:00:00,confirmed
Non Farm Payrolls,2021-02-05 08:30:00,confirmed
Inflation Rate MoM,2021-02-10 08:30:00,confirmed
Non Farm Payrolls,2021-03-05 08:30:00,confirmed
Inflation Rate MoM,2021-03-10 08:30:00,confirmed
Fed Interest Rate Decision,2021-03-17 14:00:00,confirmed
Non Farm Payrolls,2021-04-02 08:30:00,confirmed
Inflation Rate MoM,2021-04-13 08:30:00,confirmed
Fed Interest Rate Decision,2021-04-28 14:00:00,confirmed
