cell,tok,arm,N,rule,n,ticks,conf_n,conf_raw,conf_25,conf_t25,conf_mean25,expl_25,expl_t25,fresh_25,fresh_n,yrs_pos,yrs,maxyr_share
HG_globex_15_R1,HG,globex,15,R1,1003,-4.49,628,-40437.5,-56137.5,-3.727,-89.39,-8475.0,-0.838,-16787.5,134,1,7,
HG_globex_15_R2,HG,globex,15,R2,1002,-3.11,628,-31928.57,-47628.57,-3.789,-75.84,-3821.61,-0.462,-12541.07,134,0,7,
HG_globex_15_R3,HG,globex,15,R3,1003,-0.49,628,-5193.75,-20893.75,-2.778,-33.27,-4725.0,-0.983,-5656.25,134,1,7,
HG_globex_30_R1,HG,globex,30,R1,363,-5.16,231,-4312.5,-10087.5,-0.879,-43.67,1112.5,0.159,-23525.0,70,3,7,
HG_globex_30_R2,HG,globex,30,R2,363,-1.12,231,1796.25,-3978.75,-0.438,-17.22,4035.27,0.736,-14198.04,70,3,7,
HG_globex_30_R3,HG,globex,30,R3,363,-1.41,231,10793.75,5018.75,0.846,21.73,-3950.0,-1.162,-16562.5,70,4,7,0.5
HG_globex_60_R1,HG,globex,60,R1,134,0.81,86,-175.0,-2325.0,-0.269,-27.03,2187.5,0.722,-1862.5,36,4,7,
HG_globex_60_R2,HG,globex,60,R2,134,-0.27,86,3416.43,1266.43,0.202,14.73,2078.3,0.87,-7152.86,36,5,7,1.23
HG_globex_60_R3,HG,globex,60,R3,134,1.1,86,2925.0,775.0,0.139,9.01,393.75,0.227,-2681.25,36,3,7,3.03
HG_cash_0_C1,HG,cash,0,C1,636,-3.11,300,-25362.5,-32862.5,-3.496,-109.54,-12975.0,-1.551,5250.0,55,0,7,
CL_cash_5_R1,CL,cash,5,R1,3662,1.52,1806,43230.0,-1920.0,-0.056,-1.06,-40365.0,-1.842,6545.0,413,3,7,
CL_cash_5_R2,CL,cash,5,R2,3648,0.81,1806,29716.93,-15433.07,-0.558,-8.55,-34251.29,-1.869,-12099.07,413,3,7,
CL_cash_5_R3,CL,cash,5,R3,3662,1.22,1806,25480.0,-19670.0,-1.65,-10.89,-25500.0,-3.115,-1755.0,413,1,7,
CL_cash_15_R1,CL,cash,15,R1,3646,1.16,1805,44530.0,-595.0,-0.016,-0.33,-30510.0,-1.269,-17595.0,413,4,7,
CL_cash_15_R2,CL,cash,15,R2,3632,0.13,1805,14753.21,-30371.79,-1.179,-16.83,-39037.29,-2.196,-16602.14,413,1,7,
CL_cash_15_R3,CL,cash,15,R3,3646,0.39,1805,18330.0,-26795.0,-1.597,-14.84,-36190.0,-3.163,-13895.0,413,2,7,
CL_cash_30_R1,CL,cash,30,R1,3618,1.01,1800,29490.0,-15510.0,-0.41,-8.62,-18065.0,-0.717,-20285.0,413,4,7,
CL_cash_30_R2,CL,cash,30,R2,3604,0.51,1800,11655.14,-33344.86,-1.332,-18.52,-21095.5,-1.161,-17418.79,413,1,7,
CL_cash_30_R3,CL,cash,30,R3,3618,0.6,1800,11530.0,-33470.0,-1.649,-18.59,-29020.0,-2.179,-6405.0,413,1,7,
CL_cash_60_R1,CL,cash,60,R1,3511,0.27,1758,8710.0,-35240.0,-0.969,-20.05,1480.0,0.06,-44365.0,403,2,7,
CL_cash_60_R2,CL,cash,60,R2,3501,-0.33,1758,-9346.5,-53296.5,-2.482,-30.32,-17313.21,-1.05,-28577.0,403,1,7,
CL_cash_60_R3,CL,cash,60,R3,3511,-0.44,1758,-21630.0,-65580.0,-2.497,-37.3,-5870.0,-0.387,-31735.0,403,1,7,
CL_globex_5_R1,CL,globex,5,R1,3656,-3.43,1794,-26680.0,-71530.0,-2.443,-39.87,-158745.0,-8.135,13505.0,399,0,7,
CL_globex_5_R2,CL,globex,5,R2,3655,-3.92,1794,-29731.57,-74581.57,-2.283,-41.57,-155142.5,-7.819,-4883.79,399,1,7,
CL_globex_5_R3,CL,globex,5,R3,3656,-0.58,1794,5005.0,-39845.0,-3.594,-22.21,-67700.0,-7.687,-4890.0,399,0,7,
CL_globex_15_R1,CL,globex,15,R1,3088,-2.04,1673,-9440.0,-51265.0,-1.575,-30.64,-103115.0,-5.127,14080.0,314,1,7,
CL_globex_15_R2,CL,globex,15,R2,3085,-3.49,1673,-24750.36,-66575.36,-2.045,-39.79,-96689.07,-5.299,-21581.5,314,1,7,
CL_globex_15_R3,CL,globex,15,R3,3088,-0.54,1673,1470.0,-40355.0,-3.305,-24.12,-47100.0,-5.081,-6270.0,314,1,7,
CL_globex_30_R1,CL,globex,30,R1,2353,-0.41,1410,21960.0,-13290.0,-0.375,-9.43,-55645.0,-3.182,420.0,218,3,7,
CL_globex_30_R2,CL,globex,30,R2,2352,-1.74,1410,8060.93,-27189.07,-0.818,-19.28,-43818.36,-3.056,-28832.07,218,2,7,
CL_globex_30_R3,CL,globex,30,R3,2353,0.31,1410,4810.0,-30440.0,-2.304,-21.59,-24060.0,-2.93,2960.0,218,1,7,
CL_globex_60_R1,CL,globex,60,R1,1702,-0.01,1131,24080.0,-4195.0,-0.116,-3.71,-25845.0,-1.794,-12760.0,136,3,7,
CL_globex_60_R2,CL,globex,60,R2,1701,-3.0,1131,-8701.57,-36976.57,-1.353,-32.69,-21948.43,-2.203,-34673.79,136,1,7,
CL_globex_60_R3,CL,globex,60,R3,1702,0.99,1131,315.0,-27960.0,-1.962,-24.72,-9330.0,-1.322,11620.0,136,1,7,
CL_cash_0_C1,CL,cash,0,C1,527,3.37,271,9580.0,2805.0,0.169,10.35,4970.0,0.456,-3180.0,60,4,7,1.76
NG_cash_5_R1,NG,cash,5,R1,3768,1.26,1804,17430.0,-27670.0,-0.868,-15.34,-7165.0,-0.441,-11945.0,413,1,7,
NG_cash_5_R2,NG,cash,5,R2,3755,1.29,1804,29824.5,-15275.5,-0.551,-8.47,-15055.71,-1.036,-15049.07,413,1,7,
NG_cash_5_R3,NG,cash,5,R3,3768,0.26,1804,350.0,-44750.0,-4.085,-24.81,-31975.0,-5.792,-7810.0,413,1,7,
NG_cash_15_R1,NG,cash,15,R1,3705,1.02,1795,35010.0,-9865.0,-0.287,-5.5,-28535.0,-1.703,-16275.0,413,3,7,
NG_cash_15_R2,NG,cash,15,R2,3692,0.83,1795,22631.79,-22243.21,-0.827,-12.39,-24974.07,-1.801,-14362.0,413,1,7,
NG_cash_15_R3,NG,cash,15,R3,3705,0.15,1795,11320.0,-33555.0,-2.173,-18.69,-34095.0,-4.465,-19235.0,413,0,7,
NG_cash_30_R1,NG,cash,30,R1,3626,0.23,1776,15130.0,-29270.0,-0.919,-16.48,-33440.0,-2.041,-19660.0,410,3,7,
NG_cash_30_R2,NG,cash,30,R2,3613,0.07,1776,8828.57,-35571.43,-1.606,-20.03,-36937.64,-3.148,-15343.71,410,1,7,
NG_cash_30_R3,NG,cash,30,R3,3626,0.03,1776,-3730.0,-48130.0,-2.467,-27.1,-23470.0,-2.591,-18030.0,410,0,7,
NG_cash_60_R1,NG,cash,60,R1,3480,0.15,1721,19130.0,-23895.0,-0.76,-13.88,-43290.0,-2.752,-14455.0,389,3,7,
NG_cash_60_R2,NG,cash,60,R2,3468,0.04,1721,-8840.36,-51865.36,-2.546,-30.14,-31105.5,-2.934,-2222.0,389,2,7,
NG_cash_60_R3,NG,cash,60,R3,3480,-0.01,1721,14510.0,-28515.0,-1.313,-16.57,-40640.0,-3.829,-18350.0,389,2,7,
NG_globex_5_R1,NG,globex,5,R1,2728,-1.4,1527,-14060.0,-52235.0,-2.356,-34.21,-40960.0,-3.226,-13175.0,335,0,7,
NG_globex_5_R2,NG,globex,5,R2,2728,-2.43,1527,-32690.14,-70865.14,-2.748,-46.41,-57371.29,-5.007,-6200.21,335,0,7,
NG_globex_5_R3,NG,globex,5,R3,2728,-0.05,1527,9010.0,-29165.0,-3.921,-19.1,-28410.0,-6.189,-11935.0,335,0,7,
NG_globex_15_R1,NG,globex,15,R1,1167,-0.88,728,-2680.0,-20880.0,-0.993,-28.68,-4245.0,-0.468,-14370.0,184,2,7,
