cell,tok,arm,N,rule,n_conf,mean25,t25,mde,expl_mean25,yrs_pos,max_year_share,loyo_min,ticks,verdict
GC_globex_60_R1,GC,globex,60,R1,1092,-38.08,-1.226,86.93,35.75,2/7,,-45555.0,8.91,UNDERPOWERED
GC_globex_60_R2,GC,globex,60,R2,1092,0.69,0.024,82.28,-25.15,2/7,32.33,-23658.0,4.09,UNDERPOWERED
GC_globex_60_R3,GC,globex,60,R3,1092,-18.89,-1.483,35.67,17.79,3/7,,-23250.0,2.28,UNDERPOWERED
GC_cash_0_C1,GC,cash,0,C1,248,42.9,0.612,196.24,76.14,4/7,0.99,75.0,13.01,UNDERPOWERED
SI_cash_5_R1,SI,cash,5,R1,1765,-68.54,-4.604,41.69,-23.34,0/7,,-115750.0,-0.78,NEGATIVE (t) but UNDERPOWERED vs $25
SI_cash_5_R2,SI,cash,5,R2,1765,-62.06,-3.563,48.77,-14.32,0/7,,-106718.0,-0.03,NEGATIVE (t) but UNDERPOWERED vs $25
SI_cash_5_R3,SI,cash,5,R3,1765,-32.08,-6.766,13.27,-18.75,0/7,,-52088.0,-0.42,NEGATIVE
SI_cash_15_R1,SI,cash,15,R1,1575,-70.33,-3.433,57.36,-14.65,0/7,,-110500.0,-1.69,NEGATIVE (t) but UNDERPOWERED vs $25
SI_cash_15_R2,SI,cash,15,R2,1575,-54.58,-2.87,53.25,-25.58,0/7,,-85957.0,-0.76,NEGATIVE (t) but UNDERPOWERED vs $25
SI_cash_15_R3,SI,cash,15,R3,1575,-25.23,-3.459,20.42,-23.76,1/7,,-41075.0,-0.37,NEGATIVE
SI_cash_30_R1,SI,cash,30,R1,1381,-83.94,-3.317,70.87,1.63,1/7,,-117350.0,-0.37,NEGATIVE (t) but UNDERPOWERED vs $25
SI_cash_30_R2,SI,cash,30,R2,1381,-49.36,-2.409,57.36,-21.67,1/7,,-69622.0,0.42,NEGATIVE (t) but UNDERPOWERED vs $25
SI_cash_30_R3,SI,cash,30,R3,1381,-29.42,-2.73,30.17,-34.72,2/7,,-46688.0,-0.59,NEGATIVE (t) but UNDERPOWERED vs $25
SI_cash_60_R1,SI,cash,60,R1,1195,-75.9,-2.285,93.01,-28.88,2/7,,-96375.0,-1.0,NEGATIVE (t) but UNDERPOWERED vs $25
SI_cash_60_R2,SI,cash,60,R2,1195,-64.02,-2.947,60.82,-78.57,2/7,,-80497.0,-4.03,NEGATIVE (t) but UNDERPOWERED vs $25
SI_cash_60_R3,SI,cash,60,R3,1195,-41.76,-2.524,46.33,-13.85,1/7,,-56200.0,0.08,NEGATIVE (t) but UNDERPOWERED vs $25
SI_globex_5_R1,SI,globex,5,R1,1530,-52.25,-2.323,62.99,-104.25,2/7,,-84800.0,0.17,NEGATIVE (t) but UNDERPOWERED vs $25
SI_globex_5_R2,SI,globex,5,R2,1530,-44.2,-1.719,72.0,-115.05,2/7,,-88319.0,-0.38,UNDERPOWERED
SI_globex_5_R3,SI,globex,5,R3,1530,-30.34,-4.25,19.99,-43.22,1/7,,-54188.0,-0.82,NEGATIVE
SI_globex_15_R1,SI,globex,15,R1,682,-40.32,-0.79,142.86,-193.46,2/7,,-32525.0,2.68,UNDERPOWERED
SI_globex_15_R2,SI,globex,15,R2,682,-24.2,-0.54,125.55,-81.09,2/7,,-25830.0,0.09,UNDERPOWERED
SI_globex_15_R3,SI,globex,15,R3,682,-63.01,-3.325,53.07,-85.48,0/7,,-41250.0,0.86,NEGATIVE (t) but UNDERPOWERED vs $25
SI_globex_30_R1,SI,globex,30,R1,278,-150.09,-1.412,297.52,-348.36,1/7,,-46500.0,8.62,UNDERPOWERED
SI_globex_30_R2,SI,globex,30,R2,278,-140.07,-2.189,179.17,-149.79,1/7,,-46907.0,-0.46,NEGATIVE (t) but UNDERPOWERED vs $25
SI_globex_30_R3,SI,globex,30,R3,278,-66.1,-1.394,132.74,-147.64,0/7,,-17388.0,5.38,UNDERPOWERED
SI_globex_60_R1,SI,globex,60,R1,144,-109.37,-0.469,653.61,-580.36,1/7,,-19725.0,12.36,UNDERPOWERED
SI_globex_60_R2,SI,globex,60,R2,144,-190.22,-1.878,283.68,-37.95,1/7,,-36615.0,6.56,UNDERPOWERED
SI_globex_60_R3,SI,globex,60,R3,144,-69.79,-0.747,261.76,-231.85,1/7,,-10875.0,7.62,UNDERPOWERED
SI_cash_0_C1,SI,cash,0,C1,257,12.55,0.14,250.3,52.39,4/7,4.5,-11275.0,7.66,UNDERPOWERED
