ticker,event_et,session,jump_pct,res_pct,pred
AVGO,2023-06-01 16:17:30,AMC,0.03105482902591353,0.008625894936599671,0.011022320198401764
MU,2023-06-28 16:00:29,AMC,0.11889428316655107,0.14201261600449155,0.03289040915668991
NFLX,2023-07-19 16:04:02,AMC,0.043871331651598955,0.04700352526439483,0.026077319251580938
TSLA,2023-07-19 16:46:20,AMC,0.0,0.09880957982402484,0.012027269778490866
GOOGL,2023-07-25 16:01:21,AMC,0.13418744708381922,0.4616834672588143,0.09302152518092688
MSFT,2023-07-25 16:02:47,AMC,0.16431625295131133,0.3190657754096007,0.08855674111192707
META,2023-07-26 16:06:51,AMC,0.06850842812987923,0.23419949973712298,0.040066461997600625
INTC,2023-07-27 16:07:40,AMC,0.024058510297042406,0.006415705647424896,0.030657185923580327
AMD,2023-08-01 16:16:57,AMC,0.018963337547408345,0.0079012657827784,0.026554547466253596
AMZN,2023-08-03 16:09:02,AMC,0.03870655592290944,0.079022061669462,0.030231338022032907
AAPL,2023-08-03 16:30:21,AMC,0.19012019463152127,0.42695108590578074,0.22299695342190398
NVDA,2023-08-23 16:21:42,AMC,0.07192950908110052,0.0964572400150408,0.06316036023122087
MU,2023-09-27 16:00:28,AMC,0.05595496473141617,0.19499788045782113,0.03330633629750594
NFLX,2023-10-18 16:01:28,AMC,0.016599990040005976,0.013281314850170168,0.026782474908913063
TSLA,2023-10-18 16:15:00,AMC,0.0016598061346434737,0.02489833181176861,0.011607661056297156
GOOGL,2023-10-24 16:01:23,AMC,0.17632241813602015,0.20660809970940486,0.11360448613237305
MSFT,2023-10-24 16:03:29,AMC,0.14311209886520526,0.006735254003266598,0.08894116644698631
META,2023-10-25 16:20:51,AMC,0.11022889719433011,0.23078777858151633,0.041438225168940454
INTC,2023-10-26 16:09:55,AMC,0.10719055317354326,0.06677678979369486,0.029080569332924053
AMZN,2023-10-26 16:14:51,AMC,0.02630978899549226,0.08243733885254241,0.031647000316470004
AMD,2023-10-31 16:16:56,AMC,0.0069187394056802855,0.020756577240413056,0.02275894250683097
AAPL,2023-11-02 16:30:32,AMC,0.07346189164370982,0.05676032119664113,0.21793807224048897
NVDA,2023-11-21 16:22:00,AMC,0.09093902381661675,0.15993477170095335,0.06565849112551363
AVGO,2023-12-07 16:18:51,AMC,0.03590327968654876,0.02497619456455566,0.011413825152472433
MU,2023-12-20 16:00:33,AMC,0.025351944643283227,0.04921186453315836,0.03372226343832198
NFLX,2024-01-23 16:02:17,AMC,0.007124841472277242,0.06269592476489029,0.026077319251580938
INTC,2024-01-25 16:07:43,AMC,0.02129441660396644,0.12492547059992619,0.030657185923580327
GOOGL,2024-01-30 16:01:26,AMC,0.10229888323719132,0.355184269599068,0.13418744708381922
MSFT,2024-01-30 16:03:17,AMC,0.04703132571330844,0.04560613402502637,0.08932559178204555
AMD,2024-01-30 16:16:19,AMC,0.004277586870660032,0.034223134839151265,0.018963337547408345
AMZN,2024-02-01 16:06:02,AMC,0.060024009603841535,0.3615680333843054,0.030231338022032907
META,2024-02-01 16:10:29,AMC,0.05137426149499101,0.27684623617552623,0.04192994829139708
AAPL,2024-02-01 16:30:30,AMC,0.036968051072784405,0.10095552269366397,0.21287919105907396
NVDA,2024-02-21 16:22:09,AMC,0.17931687443515185,1.2597566574839303,0.06733633101763689
AVGO,2024-03-07 16:18:09,AMC,0.0960008777223106,0.026057023739320048,0.011805330106543103
MU,2024-03-20 16:00:45,AMC,0.0662717411885634,0.24344721252941653,0.03330633629750594
NFLX,2024-04-18 16:02:24,AMC,0.021337126600284497,0.20768431983385255,0.025079598819047543
TSLA,2024-04-23 16:09:55,AMC,0.02552394997305805,0.10067780267150678,0.011567785062075214
META,2024-04-24 16:07:26,AMC,0.15800711743772242,0.3871886120996441,0.0424216714138537
GOOGL,2024-04-25 16:01:35,AMC,0.08229051389007122,1.0003405414609228,0.11824316516050526
MSFT,2024-04-25 16:03:19,AMC,0.28386222090412233,0.46322449440741154,0.08894116644698631
INTC,2024-04-25 16:09:45,AMC,0.05061369100341642,0.04358156078221872,0.029080569332924053
AMZN,2024-04-30 16:10:34,AMC,0.004270158707565298,0.22917170796976644,0.031647000316470004
AMD,2024-04-30 16:16:31,AMC,0.10971317840502687,0.16243481234504573,0.01870243057627928
AAPL,2024-05-02 16:30:34,AMC,0.36954182477204506,0.5281191595401257,0.20628062534613967
NVDA,2024-05-22 16:21:29,AMC,0.15762006940581208,0.447634687715209,0.06901417090976014
AVGO,2024-06-12 16:19:05,AMC,0.02813083395135923,0.06137322593018795,0.012864191019763407
MU,2024-06-26 16:00:36,AMC,0.1112235843987053,0.27118559342156234,0.03372226343832198
NFLX,2024-07-18 16:01:22,AMC,0.03394859930593975,0.13704830638469082,0.024081878386514148
