Date,Scraped_At,dOpen,wOpen,mOpen,DIHD,DIHU,DILD,DILU,DRHD,DRHU,DRLD,DRLU,MIHD,MIHU,MILD,MILU,MRHD,MRHU,MRLD,MRLU,MTL1,MTL2,MTLD,MTLU,WIHD,WIHU,WILD,WILU,WRHD,WRHU,WRLD,WRLU,WTL1,WTL2,WTLD,WTLU,DTL1,DTL2,DTLD,DTLU,DTH1,DTH2,DTHD,DTHU,WTH1,WTH2,WTHD,WTHU,MTH1,MTH2,MTHD,MTHU
2025-02-12,2026-06-30 09:33:45,44699.0,44177.0,44449.0,44808.51110208,44839.178384,44551.672616,44582.33989792,44912.06016,45017.61352,44379.29837,44485.61535,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44355.66239048,44424.479554000005,43779.318646,43848.135809520005,44670.45709,44816.24119,43511.69438,43680.89229,,,,,44100.10462,43943.30941,43948.282015,44088.6697366,,,,,,,,,,,,
2025-02-13,2026-06-30 09:34:19,44512.0,44177.0,44449.0,44629.87183452,44660.104671,44376.671829,44406.90466548,44729.30304,44834.42688,44208.42153,44314.32915,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44355.66239048,44424.479554000005,43779.318646,43848.135809520005,44670.45709,44816.24119,43511.69438,43680.89229,,,,,,,,,45073.62816,45220.17792,45124.0291834,45264.416905,45354.31705,45818.61732,45502.4413,45858.92228,,,,
2025-02-14,2026-06-30 09:34:48,44825.0,44177.0,44449.0,44937.86294544,44967.847652,44686.741028,44716.72573456,45032.55936,45138.39592,44522.35805,44629.01775,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44355.66239048,44424.479554000005,43779.318646,43848.135809520005,44670.45709,44816.24119,43511.69438,43680.89229,,,,,,,,,,,,,45354.31705,45818.61732,45502.4413,45858.92228,,,,
2025-02-17,2026-06-30 09:35:20,44655.0,44655.0,44449.0,44752.97003178,44784.1440865,44491.8873235,44523.06137822,44862.85632,44968.29404,44313.72935,44419.88925,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44835.5955372,44905.15731,44253.01569,44322.5774628,45124.0291834,45264.416905,43948.282015,44088.6697366,,,,,,,,,,,,,,,,,,,,
2025-02-18,2026-06-30 09:35:56,44739.0,44655.0,44449.0,44824.89024864,44856.046872000006,44563.953528,44595.11015136,44934.15168,45039.75696,44386.25266,44492.5863,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44835.5955372,44905.15731,44253.01569,44322.5774628,45124.0291834,45264.416905,43948.282015,44088.6697366,,,,,,,,,,,,,,,,,,,,
2025-02-19,2026-06-30 09:36:29,44638.0,44655.0,44449.0,44765.31567876,44795.540153,44512.185707,44542.41018124,44863.86048,44969.30056,44344.52692,44450.7606,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44835.5955372,44905.15731,44253.01569,44322.5774628,45124.0291834,45264.416905,43948.282015,44088.6697366,,,,,,,,,,,,,,,,,,,,
2025-02-20,2026-06-30 09:37:01,44655.0,44655.0,44449.0,44768.58665598,44798.6217315,44517.0428985,44547.07797402,44864.86464,44970.30708,44351.48121,44457.73155,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44835.5955372,44905.15731,44253.01569,44322.5774628,45124.0291834,45264.416905,43948.282015,44088.6697366,,,,,44072.46246,43915.76553,43948.282015,44088.6697366,,,,,,,,,,,,
2025-02-21,2026-06-30 09:37:39,44264.0,44655.0,44449.0,44372.83057728,44403.950864,44112.198176,44143.31846272,44484.288,44588.836,43933.23034,44038.4787,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44835.5955372,44905.15731,44253.01569,44322.5774628,45124.0291834,45264.416905,43948.282015,44088.6697366,43397.5152,42924.1722,42995.5177,43433.78484,43656.84284,43501.62362,43374.26426,43771.82004,,,,,,,,,,,,
2025-02-24,2026-06-30 09:38:10,43527.0,43527.0,44449.0,43681.65716136,43713.480538,43415.136382,43446.95975864,43805.47584,43908.42848,43225.8797,43329.4335,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,43703.03363448,43770.838254,43135.169946,43202.97456552,43948.282015,44088.6697366,42871.48338,43038.19179,,,,,,,,,,,,,,,,,,,,
2025-02-25,2026-06-30 09:38:48,43589.0,43527.0,44449.0,43681.48291638,43712.2209615,43424.0517885,43454.78983362,43792.42176,43895.34372,43246.74257,43350.34635,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,43703.03363448,43770.838254,43135.169946,43202.97456552,43948.282015,44088.6697366,42871.48338,43038.19179,,,,,,,,,,,,,,,,,,,,
2025-02-26,2026-06-30 09:39:16,43735.0,43527.0,44449.0,43863.57906684,43893.700487,43611.312173,43641.43359316,43966.14144,44069.47168,43441.46269,43545.53295,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,43703.03363448,43770.838254,43135.169946,43202.97456552,43948.282015,44088.6697366,42871.48338,43038.19179,,,,,43168.16894,43014.68717,42888.75341,43281.85914,,,,,,,,,,,,
