Date,Scraped_At,dOpen,wOpen,mOpen,DIHD,DIHU,DILD,DILU,DRHD,DRHU,DRLD,DRLU,MIHD,MIHU,MILD,MILU,MRHD,MRHU,MRLD,MRLU,WIHD,WIHU,WILD,WILU,WRHD,WRHU,WRLD,WRLU,DTH1,DTH2,DTHD,DTHU,WTH1,WTH2,WTHD,WTHU,DTL1,DTL2,DTLD,DTLU,MTH1,MTH2,MTHD,MTHU,WTL1,WTL2,WTLD,WTLU,MTL1,MTL2,MTLD,MTLU
2025-02-21,2026-06-29 10:54:46,72.58,70.69,74.14,72.90162678659999,73.01532290499999,71.949421795,72.0631179134,73.577747,73.8149772,71.5160013396,71.76568973,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,71.5160013396,71.76568973,69.42486106999999,69.6745494604,72.7930275,73.1832363,68.0172111,68.6908868,,,,,,,,,70.3417699,69.8572695,69.0093938,70.7058705,,,,,,,,,,,,
2025-02-24,2026-06-29 10:55:13,69.8,69.8,74.14,70.4345128716,70.55826603,69.39808017,69.52183332839999,71.252217,71.4819492,68.662958,69.00777,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,70.615601832,70.86214659999999,68.5507894,68.79733416799999,71.87655,72.26184599999999,67.160862,67.826056,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-25,2026-06-29 10:55:38,70.92,69.8,74.14,71.1460123782,71.254614935,70.236465965,70.3450685218,71.77798899999999,72.00941639999999,69.6761793,70.0260795,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,70.615601832,70.86214659999999,68.5507894,68.79733416799999,71.87655,72.26184599999999,67.160862,67.826056,,,,,,,,,68.6930589,68.2199145,66.8720558,68.2777502,,,,,,,,,,,,
2025-02-26,2026-06-29 10:56:17,69.11,69.8,74.14,69.3327982668,69.43685819,68.46129641,68.5653563332,69.92767599999999,70.1531376,67.93501260000001,68.276169,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,70.615601832,70.86214659999999,68.5507894,68.79733416799999,71.87655,72.26184599999999,67.160862,67.826056,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27,2026-06-29 10:56:44,68.82,69.8,74.14,68.9906242824,69.09513842,68.11531838,68.2198325176,69.594013,69.8183988,67.580877,67.920255,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,70.615601832,70.86214659999999,68.5507894,68.79733416799999,71.87655,72.26184599999999,67.160862,67.826056,70.6395407,71.1062081,70.68848644,71.3778342288,,,,,,,,,,,,,,,,,,,,
2025-02-28,2026-06-29 10:57:10,70.17,69.8,74.14,70.3384177626,70.444575705,69.44934499499999,69.5555029374,70.948887,71.1776412,68.9088855,69.2549325,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,70.615601832,70.86214659999999,68.5507894,68.79733416799999,71.87655,72.26184599999999,67.160862,67.826056,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03,2026-06-29 10:57:36,69.95,69.95,69.95,70.3118082492,70.42617910999999,69.35395229,69.46832315079999,71.01966399999999,71.2486464,68.69810485,68.945179442,72.140559796,72.7909493,66.6935477,67.343937204,73.720305,75.7831305,63.0928015,64.4190535,70.76735455800001,71.01442915,68.69810485,68.945179442,72.0310125,72.4171365,67.30519050000001,67.97181400000001,,,,,,,,,67.7523238,67.285659,66.6935477,67.343937204,,,,,,,,,,,,
2025-03-04,2026-06-29 10:58:07,68.46,69.95,69.95,68.6008809648,68.70641484,67.71703476,67.8225686352,69.219906,69.44308559999999,67.1677188,67.505022,72.140559796,72.7909493,66.6935477,67.343937204,73.720305,75.7831305,63.0928015,64.4190535,70.76735455800001,71.01442915,68.69810485,68.945179442,72.0310125,72.4171365,67.30519050000001,67.97181400000001,,,,,,,,,66.2199924,65.763882,64.9656888,66.562758,,,,,65.028318,62.194643500000005,63.0928015,64.4190535,,,,
2025-03-05,2026-06-29 10:58:31,68.08,69.95,69.95,68.2074137202,68.314279285,67.312414615,67.4192801798,68.845799,69.06777240000001,66.74472349999999,67.07990249999999,72.140559796,72.7909493,66.6935477,67.343937204,73.720305,75.7831305,63.0928015,64.4190535,70.76735455800001,71.01442915,68.69810485,68.945179442,72.0310125,72.4171365,67.30519050000001,67.97181400000001,,,,,,,,,65.8029655,65.3497275,64.55656099999999,66.14357249999999,,,,,65.028318,62.194643500000005,63.0928015,64.4190535,,,,
2025-03-06,2026-06-29 10:58:57,66.39,69.95,69.95,66.631204557,66.734189725,65.768703775,65.871688943,67.23815,67.45494,65.22981010000001,65.5573815,72.140559796,72.7909493,66.6935477,67.343937204,73.720305,75.7831305,63.0928015,64.4190535,70.76735455800001,71.01442915,68.69810485,68.945179442,72.0310125,72.4171365,67.30519050000001,67.97181400000001,,,,,,,,,,,,,,,,,65.028318,62.194643500000005,63.0928015,64.4190535,,,,
2025-03-07,2026-06-29 10:59:22,67.11,67.11,69.95,67.3024549782,67.421015935,66.309506965,66.4280679218,68.087474,68.3070024,65.6036199,65.9330685,72.140559796,72.7909493,66.6935477,67.343937204,73.720305,75.7831305,63.0928015,64.4190535,67.89416961239999,68.13121287,65.90893233,66.1459755876,69.1065225,69.4769697,64.5725709,65.21212919999999,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-10,2026-06-29 10:59:47,65.95,67.11,69.95,66.08728176540001,66.19137969500001,65.215461605,65.3195595346,66.712378,66.9274728,64.6592583,64.9839645,72.140559796,72.7909493,66.6935477,67.343937204,73.720305,75.7831305,63.0928015,64.4190535,67.89416961239999,68.13121287,65.90893233,66.1459755876,69.1065225,69.4769697,64.5725709,65.21212919999999,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11,2026-06-29 11:00:20,66.62,67.11,69.95,66.79769722319999,66.89870306,65.95177333999999,66.0527791768,67.379704,67.5969504,65.4363892,65.76499799999999,72.140559796,72.7909493,66.6935477,67.343937204,73.720305,75.7831305,63.0928015,64.4190535,67.89416961239999,68.13121287,65.90893233,66.1459755876,69.1065225,69.4769697,64.5725709,65.21212919999999,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-12,2026-06-29 11:00:50,67.69,67.11,69.95,67.94001796920001,68.04363811,67.07219929000001,67.1758194308,68.54246900000001,68.7634644,66.53814440000001,66.872286,72.140559796,72.7909493,66.6935477,67.343937204,73.720305,75.7831305,63.0928015,64.4190535,67.89416961239999,68.13121287,65.90893233,66.1459755876,69.1065225,69.4769697,64.5725709,65.21212919999999,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13,2026-06-29 11:01:15,66.78,67.11,69.95,66.99860431260001,67.102441455,66.12896824500001,66.2328053874,67.612257,67.8302532,65.5839457,65.9132955,72.140559796,72.7909493,66.6935477,67.343937204,73.720305,75.7831305,63.0928015,64.4190535,67.89416961239999,68.13121287,65.90893233,66.1459755876,69.1065225,69.4769697,64.5725709,65.21212919999999,,,,,,,,,,,,,,,,,,,,,,,,
